,State,579,584,591,598,605,612,619
0,Washington,NaN,31986,40010,46378,49279,47715,42105
1,Illinois,NaN,21541,16333,10506,5863,2921,1338
2,California,NaN,88352,76535,60296,43435,28800,17683
3,Arizona,NaN,22131,21418,18950,15324,11362,7745
4,Massachusetts,NaN,6165,3694,1870,843,355,144
5,Wisconsin,NaN,6801,4001,2016,921,398,168
6,Texas,NaN,146269,156857,156893,146834,129396,108182
7,Nebraska,NaN,3176,2667,1949,1250,712,368
8,Utah,NaN,7560,7459,6954,6121,5084,3992
9,Oregon,NaN,19949,21562,20117,16235,11412,7070
10,Florida,NaN,147487,126266,99728,73682,51526,34513
11,New York,NaN,44938,56449,68883,81281,92272,100386
12,Rhode Island,NaN,2600,2560,2198,1656,1102,657
13,Georgia,NaN,64372,64537,58353,49400,39788,30840
14,New Hampshire,NaN,2042,2120,1905,1487,1021,628
15,North Carolina,NaN,20493,13604,8420,5038,2961,1721
16,New Jersey,NaN,19657,22296,22860,21059,17404,12958
17,Colorado,NaN,11487,12786,13345,12942,11560,9518
18,Maryland,NaN,4995,3135,1647,773,342,147
19,Nevada,NaN,5915,4476,3084,1941,1125,606
20,Tennessee,NaN,44944,49906,50305,46276,39290,31213
21,Hawaii,NaN,5332,4836,4032,3194,2460,1867
22,Indiana,NaN,29723,36876,40760,39816,34505,26795
23,Kentucky,NaN,15389,9498,4925,2297,1011,432
24,Minnesota,NaN,8694,7148,4889,2865,1485,702
25,Oklahoma,NaN,17990,17377,15595,13122,10447,7954
26,Pennsylvania,NaN,14795,10951,6848,3813,1986,998
27,South Carolina,NaN,31463,32635,30996,27255,22463,17557
28,District of Columbia,NaN,1752,2266,2829,3380,3850,4162
29,Kansas,NaN,4560,3293,2134,1256,680,343
30,Missouri,NaN,20686,20067,18846,17179,15238,13186
31,Vermont,NaN,1222,1425,1441,1255,945,620
32,Virginia,NaN,15098,11921,7937,4576,2360,1127
33,Connecticut,NaN,3327,2513,1811,1281,899,627
34,Iowa,NaN,8293,9388,9435,8410,6715,4833
35,Louisiana,NaN,36396,30489,23693,17376,12211,8316
36,Ohio,NaN,20431,17311,12700,8420,5229,3122
37,Michigan,NaN,28338,42297,56952,67477,69470,62257
38,South Dakota,NaN,2714,3837,4702,4971,4575,3743
39,Arkansas,NaN,15536,13420,10765,8051,5651,3737
40,Delaware,NaN,1160,1074,969,856,740,627
41,Mississippi,NaN,29986,29882,26830,22030,16936,12252
42,New Mexico,NaN,6555,7846,9082,10113,10801,11016
43,North Dakota,NaN,781,546,360,234,149,96
44,Wyoming,NaN,2623,2561,2235,1804,1389,1041
45,Alaska,NaN,4093,4167,3802,3156,2407,1711
46,Maine,NaN,1238,996,670,385,197,91
47,Alabama,NaN,33115,34070,32632,29273,24784,19958
48,Idaho,NaN,8276,9766,10244,9490,7815,5766
49,Montana,NaN,3605,4618,5478,5930,5826,5204
50,Puerto Rico,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,NaN,4814,4517,3527,2321,1334,691
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN,NaN
