,State,635,640,647,654,661,668,675
0,Washington,NaN,12136,9856,7814,6077,4624,3446
1,Illinois,NaN,10640,7968,5756,4019,2717,1776
2,California,NaN,24473,19310,15082,11678,8978,6849
3,Arizona,NaN,12229,10401,8691,7142,5784,4617
4,Massachusetts,NaN,12324,11263,10060,8776,7511,6301
5,Wisconsin,NaN,18487,15957,13057,10146,7498,5277
6,Texas,NaN,33317,24493,17647,12458,8628,5878
7,Nebraska,NaN,2276,1660,1170,801,536,352
8,Utah,NaN,6587,5340,4218,3255,2463,1831
9,Oregon,NaN,7273,5717,4116,2698,1609,877
10,Florida,NaN,11272,7088,4371,2644,1571,916
11,New York,NaN,29306,26729,23870,20899,17859,14937
12,Rhode Island,NaN,1399,1160,942,750,586,450
13,Georgia,NaN,7725,4827,2894,1663,917,486
14,New Hampshire,NaN,3604,3506,3337,3108,2836,2538
15,North Carolina,NaN,18505,14050,10404,7552,5371,3746
16,New Jersey,NaN,8249,6592,5096,3826,2781,1959
17,Colorado,NaN,11105,9643,8143,6682,5364,4210
18,Maryland,NaN,7210,6721,6179,5604,5017,4437
19,Nevada,NaN,3656,3039,2485,2002,1589,1242
20,Tennessee,NaN,8673,5656,3628,2295,1435,887
21,Hawaii,NaN,529,321,189,110,62,35
22,Indiana,NaN,7430,4956,3174,1957,1162,665
23,Kentucky,NaN,9861,7197,5136,3600,2482,1683
24,Minnesota,NaN,19875,18877,17282,15228,13011,10796
25,Oklahoma,NaN,4745,3471,2482,1746,1210,825
26,Pennsylvania,NaN,29088,25923,22458,18972,15671,12682
27,South Carolina,NaN,8423,5779,3869,2529,1616,1010
28,District of Columbia,NaN,588,427,297,197,126,77
29,Kansas,NaN,4104,3192,2425,1803,1311,935
30,Missouri,NaN,8229,7121,6052,5057,4137,3317
31,Vermont,NaN,1423,1362,1277,1172,1054,930
32,Virginia,NaN,10780,7954,5633,3839,2520,1596
33,Connecticut,NaN,2273,1849,1469,1137,860,634
34,Iowa,NaN,6141,4868,3757,2831,2091,1516
35,Louisiana,NaN,2075,1385,913,597,385,246
36,Ohio,NaN,24229,19393,15242,11785,8980,6752
37,Michigan,NaN,29699,28789,27079,24747,22012,19060
38,South Dakota,NaN,1145,779,507,319,192,112
39,Arkansas,NaN,3389,2617,1998,1512,1135,844
40,Delaware,NaN,1479,977,634,405,255,159
41,Mississippi,NaN,1902,1217,759,463,276,160
42,New Mexico,NaN,3336,2815,2325,1884,1500,1172
43,North Dakota,NaN,2868,2250,1691,1232,878,613
44,Wyoming,NaN,1952,1428,999,674,444,287
45,Alaska,NaN,1867,874,397,176,78,33
46,Maine,NaN,4466,4420,4243,3952,3579,3152
47,Alabama,NaN,2447,1196,554,248,107,46
48,Idaho,NaN,6312,5075,3945,2981,2198,1586
49,Montana,NaN,3343,2052,1144,593,291,138
50,Puerto Rico,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,NaN,4172,2659,1600,913,495,257
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN,NaN
