,State,313,318,325,332,339,346
0,Washington,165019,27278,35473,44455,53012,59526
1,Illinois,726304,99729,97599,89124,76134,61046
2,California,1230264,135375,164596,185114,190697,178541
3,Arizona,326817,45085,60797,77453,91580,98681
4,Massachusetts,226132,27076,30659,32931,33381,31839
5,Wisconsin,411730,39205,33466,27099,20890,15380
6,Texas,1238752,70390,69741,66824,61731,54901
7,Nebraska,128407,18821,18859,17738,15741,13244
8,Utah,195706,29813,31664,31896,30419,27527
9,Oregon,75431,12879,15589,17909,19313,19451
10,Florida,999319,80373,98629,117877,135952,149971
11,New York,647980,68756,92166,120497,151513,180785
12,Rhode Island,56723,7950,8039,7500,6470,5180
13,Georgia,471563,37024,40764,43113,43434,41697
14,New Hampshire,21030,5772,7960,10370,12544,13914
15,North Carolina,364512,26607,28153,29070,29206,28478
16,New Jersey,337304,49147,62507,75995,87289,93876
17,Colorado,232905,46356,47916,45734,40380,33123
18,Maryland,198370,25103,32360,40135,47225,52115
19,Nevada,152171,21479,24861,27041,27439,25909
20,Tennessee,374493,34319,35607,35299,33316,29890
21,Hawaii,18223,656,605,530,440,343
22,Indiana,338977,59874,63194,61764,55849,46868
23,Kentucky,179041,20539,19565,17358,14336,11019
24,Minnesota,318763,86100,101895,107196,99408,82057
25,Oklahoma,197745,31041,38585,46287,52515,55462
26,Pennsylvania,366835,71445,91165,111959,130611,143241
27,South Carolina,217487,16624,19713,22597,24774,25729
28,District of Columbia,21552,1612,1775,1831,1756,1557
29,Kansas,159915,34378,38831,40082,37655,32372
30,Missouri,306206,52113,62161,70228,74151,72621
31,Vermont,4172,1590,2772,4833,8111,12374
32,Virginia,237835,14348,13673,12250,10270,8041
33,Connecticut,117295,16882,18117,18127,16876,14621
34,Iowa,230631,36874,37746,35882,31790,26418
35,Louisiana,232414,12754,13575,13948,13778,13046
36,Ohio,421063,93198,113995,131364,141098,140707
37,Michigan,388942,79399,89345,93651,91092,82252
38,South Dakota,80464,8063,6749,5340,4018,2897
39,Arkansas,157359,14089,15079,15676,15768,15301
40,Delaware,35654,4213,5131,6040,6801,7262
41,Mississippi,153270,9122,9761,10278,10619,10734
42,New Mexico,97095,18784,19283,18245,15922,12911
43,North Dakota,79252,7182,5750,4322,3066,2067
44,Wyoming,33305,6852,6809,6295,5446,4443
45,Alaska,32576,4551,4252,3700,3000,2276
46,Maine,11757,2636,3478,4425,5373,6172
47,Alabama,249524,16387,16873,16787,16085,14797
48,Idaho,101698,10335,9915,9042,7844,6479
49,Montana,62198,5520,4436,3349,2382,1601
50,Puerto Rico,52545,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,1544,NaN,NaN,NaN,NaN,NaN
52,Guam,6852,NaN,NaN,NaN,NaN,NaN
53,West Virginia,47842,9557,11639,13758,15619,16939
54,Northern Mariana Islands,106,NaN,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN
