,Region,670,675
0,Belgium,,117
1,Bulgaria,,764
2,Czechia,,605
3,Denmark,,55
4,Germany,,1476
5,Estonia,,53
6,Ireland,,NaN
7,Greece,,587
8,Spain,,32
9,France,,362
10,Croatia,,442
11,Italy,,385
12,Cyprus,,NaN
13,Latvia,,162
14,Lithuania,,246
15,Luxembourg,,NaN
16,Hungary,,501
17,Malta,,NaN
18,Netherlands,,349
19,Austria,,NaN
20,Poland,,3118
21,Portugal,,72
22,Romania,,1993
23,Slovenia,,NaN
24,Slovakia,,302
25,Finland,,NaN
26,Sweden,,NaN
27,United Kingdom,,NaN
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,11
31,Switzerland,,18
