,Region,474,479
0,Belgium,,164
1,Bulgaria,,448
2,Czechia,,312
3,Denmark,,9
4,Germany,,1540
5,Estonia,,NaN
6,Ireland,,17
7,Greece,,579
8,Spain,,56
9,France,,1412
10,Croatia,,266
11,Italy,,1624
12,Cyprus,,17
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,656
17,Malta,,NaN
18,Netherlands,,183
19,Austria,,107
20,Poland,,2230
21,Portugal,,23
22,Romania,,667
23,Slovenia,,6
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,7
27,United Kingdom,,66
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,10
