,Region,418,423
0,Belgium,,114
1,Bulgaria,,666
2,Czechia,,1511
3,Denmark,,13
4,Germany,,1422
5,Estonia,,NaN
6,Ireland,,110
7,Greece,,384
8,Spain,,281
9,France,,1694
10,Croatia,,78
11,Italy,,2568
12,Cyprus,,NaN
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,1176
17,Malta,,NaN
18,Netherlands,,241
19,Austria,,125
20,Poland,,2474
21,Portugal,,126
22,Romania,,636
23,Slovenia,,NaN
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,30
27,United Kingdom,,977
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,28
