,Region,481,486
0,Belgium,,80
1,Bulgaria,,275
2,Czechia,,154
3,Denmark,,NaN
4,Germany,,1118
5,Estonia,,NaN
6,Ireland,,20
7,Greece,,339
8,Spain,,55
9,France,,1075
10,Croatia,,208
11,Italy,,1255
12,Cyprus,,9
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,449
17,Malta,,NaN
18,Netherlands,,96
19,Austria,,97
20,Poland,,1312
21,Portugal,,18
22,Romania,,584
23,Slovenia,,18
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,8
27,United Kingdom,,84
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,6
