,Region,425,430
0,Belgium,,88
1,Bulgaria,,697
2,Czechia,,1335
3,Denmark,,9
4,Germany,,1264
5,Estonia,,NaN
6,Ireland,,59
7,Greece,,408
8,Spain,,188
9,France,,1809
10,Croatia,,108
11,Italy,,3050
12,Cyprus,,NaN
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,1683
17,Malta,,NaN
18,Netherlands,,225
19,Austria,,185
20,Poland,,2307
21,Portugal,,77
22,Romania,,830
23,Slovenia,,NaN
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,27
27,United Kingdom,,546
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,34
