,Region,460,465
0,Belgium,,187
1,Bulgaria,,609
2,Czechia,,374
3,Denmark,,24
4,Germany,,1832
5,Estonia,,NaN
6,Ireland,,32
7,Greece,,538
8,Spain,,76
9,France,,2073
10,Croatia,,303
11,Italy,,2315
12,Cyprus,,5
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,1399
17,Malta,,NaN
18,Netherlands,,153
19,Austria,,180
20,Poland,,3299
21,Portugal,,15
22,Romania,,1207
23,Slovenia,,NaN
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,12
27,United Kingdom,,183
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,13
