,Region,509,514
0,Belgium,,26
1,Bulgaria,,40
2,Czechia,,39
3,Denmark,,NaN
4,Germany,,612
5,Estonia,,NaN
6,Ireland,,NaN
7,Greece,,114
8,Spain,,26
9,France,,383
10,Croatia,,40
11,Italy,,540
12,Cyprus,,NaN
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,19
17,Malta,,NaN
18,Netherlands,,21
19,Austria,,14
20,Poland,,493
21,Portugal,,NaN
22,Romania,,99
23,Slovenia,,NaN
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,4
27,United Kingdom,,60
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,5
