,Region,446,451
0,Belgium,,209
1,Bulgaria,,785
2,Czechia,,806
3,Denmark,,9
4,Germany,,1875
5,Estonia,,NaN
6,Ireland,,110
7,Greece,,558
8,Spain,,83
9,France,,2280
10,Croatia,,301
11,Italy,,3746
12,Cyprus,,11
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,1746
17,Malta,,NaN
18,Netherlands,,205
19,Austria,,263
20,Poland,,4897
21,Portugal,,34
22,Romania,,1154
23,Slovenia,,NaN
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,12
27,United Kingdom,,314
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,20
