,Region,635,640
0,Belgium,,32
1,Bulgaria,,584
2,Czechia,,44
3,Denmark,,12
4,Germany,,390
5,Estonia,,40
6,Ireland,,21
7,Greece,,261
8,Spain,,21
9,France,,208
10,Croatia,,135
11,Italy,,231
12,Cyprus,,NaN
13,Latvia,,97
14,Lithuania,,238
15,Luxembourg,,NaN
16,Hungary,,39
17,Malta,,NaN
18,Netherlands,,54
19,Austria,,86
20,Poland,,296
21,Portugal,,48
22,Romania,,2453
23,Slovenia,,7
24,Slovakia,,145
25,Finland,,NaN
26,Sweden,,5
27,United Kingdom,,NaN
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,11
