,Region,579,584
0,Belgium,,22
1,Bulgaria,,159
2,Czechia,,NaN
3,Denmark,,NaN
4,Germany,,102
5,Estonia,,NaN
6,Ireland,,13
7,Greece,,160
8,Spain,,107
9,France,,701
10,Croatia,,20
11,Italy,,429
12,Cyprus,,27
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,NaN
17,Malta,,NaN
18,Netherlands,,44
19,Austria,,NaN
20,Poland,,11
21,Portugal,,75
22,Romania,,105
23,Slovenia,,NaN
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,NaN
27,United Kingdom,,NaN
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,8
