,Region,614,619
0,Belgium,,35
1,Bulgaria,,420
2,Czechia,,16
3,Denmark,,11
4,Germany,,553
5,Estonia,,NaN
6,Ireland,,22
7,Greece,,170
8,Spain,,46
9,France,,302
10,Croatia,,98
11,Italy,,355
12,Cyprus,,NaN
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,15
17,Malta,,NaN
18,Netherlands,,29
19,Austria,,67
20,Poland,,98
21,Portugal,,47
22,Romania,,726
23,Slovenia,,9
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,6
27,United Kingdom,,NaN
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,11
