,Region,453,458
0,Belgium,,179
1,Bulgaria,,663
2,Czechia,,408
3,Denmark,,15
4,Germany,,1416
5,Estonia,,NaN
6,Ireland,,41
7,Greece,,639
8,Spain,,58
9,France,,1860
10,Croatia,,275
11,Italy,,2412
12,Cyprus,,NaN
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,1576
17,Malta,,NaN
18,Netherlands,,135
19,Austria,,217
20,Poland,,3364
21,Portugal,,16
22,Romania,,1099
23,Slovenia,,NaN
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,12
27,United Kingdom,,154
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,10
