,Region,628,633
0,Belgium,,35
1,Bulgaria,,596
2,Czechia,,27
3,Denmark,,5
4,Germany,,438
5,Estonia,,NaN
6,Ireland,,18
7,Greece,,210
8,Spain,,28
9,France,,223
10,Croatia,,99
11,Italy,,261
12,Cyprus,,NaN
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,44
17,Malta,,NaN
18,Netherlands,,20
19,Austria,,100
20,Poland,,191
21,Portugal,,58
22,Romania,,2494
23,Slovenia,,6
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,5
27,United Kingdom,,NaN
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,8
