,Region,558,563
0,Belgium,,13
1,Bulgaria,,22
2,Czechia,,21
3,Denmark,,NaN
4,Germany,,116
5,Estonia,,NaN
6,Ireland,,NaN
7,Greece,,113
8,Spain,,59
9,France,,358
10,Croatia,,NaN
11,Italy,,138
12,Cyprus,,24
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,NaN
17,Malta,,NaN
18,Netherlands,,47
19,Austria,,NaN
20,Poland,,12
21,Portugal,,76
22,Romania,,9
23,Slovenia,,NaN
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,NaN
27,United Kingdom,,NaN
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,NaN
