,Region,544,549
0,Belgium,,NaN
1,Bulgaria,,28
2,Czechia,,NaN
3,Denmark,,NaN
4,Germany,,87
5,Estonia,,NaN
6,Ireland,,NaN
7,Greece,,37
8,Spain,,27
9,France,,110
10,Croatia,,12
11,Italy,,90
12,Cyprus,,NaN
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,7
17,Malta,,NaN
18,Netherlands,,NaN
19,Austria,,NaN
20,Poland,,49
21,Portugal,,50
22,Romania,,20
23,Slovenia,,NaN
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,NaN
27,United Kingdom,,NaN
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,NaN
