,Region,593,598
0,Belgium,,18
1,Bulgaria,,398
2,Czechia,,NaN
3,Denmark,,12
4,Germany,,251
5,Estonia,,NaN
6,Ireland,,14
7,Greece,,249
8,Spain,,82
9,France,,701
10,Croatia,,68
11,Italy,,491
12,Cyprus,,13
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,NaN
17,Malta,,NaN
18,Netherlands,,47
19,Austria,,23
20,Poland,,45
21,Portugal,,66
22,Romania,,194
23,Slovenia,,NaN
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,NaN
27,United Kingdom,,NaN
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,11
