,Region,663,668
0,Belgium,,77
1,Bulgaria,,1264
2,Czechia,,400
3,Denmark,,28
4,Germany,,1436
5,Estonia,,57
6,Ireland,,NaN
7,Greece,,548
8,Spain,,90
9,France,,217
10,Croatia,,513
11,Italy,,468
12,Cyprus,,NaN
13,Latvia,,294
14,Lithuania,,172
15,Luxembourg,,NaN
16,Hungary,,412
17,Malta,,NaN
18,Netherlands,,223
19,Austria,,NaN
20,Poland,,1175
21,Portugal,,50
22,Romania,,2091
23,Slovenia,,NaN
24,Slovakia,,373
25,Finland,,NaN
26,Sweden,,6
27,United Kingdom,,NaN
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,9
31,Switzerland,,15
