,Region,488,493
0,Belgium,,79
1,Bulgaria,,178
2,Czechia,,97
3,Denmark,,NaN
4,Germany,,1342
5,Estonia,,NaN
6,Ireland,,NaN
7,Greece,,356
8,Spain,,34
9,France,,791
10,Croatia,,176
11,Italy,,1115
12,Cyprus,,NaN
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,188
17,Malta,,NaN
18,Netherlands,,127
19,Austria,,77
20,Poland,,1040
21,Portugal,,11
22,Romania,,350
23,Slovenia,,14
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,5
27,United Kingdom,,34
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,9
