,Region,516,521
0,Belgium,,33
1,Bulgaria,,96
2,Czechia,,55
3,Denmark,,NaN
4,Germany,,518
5,Estonia,,NaN
6,Ireland,,NaN
7,Greece,,130
8,Spain,,17
9,France,,297
10,Croatia,,18
11,Italy,,197
12,Cyprus,,NaN
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,15
17,Malta,,NaN
18,Netherlands,,18
19,Austria,,16
20,Poland,,204
21,Portugal,,17
22,Romania,,51
23,Slovenia,,4
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,NaN
27,United Kingdom,,NaN
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,NaN
