,Region,565,570
0,Belgium,,12
1,Bulgaria,,58
2,Czechia,,NaN
3,Denmark,,NaN
4,Germany,,118
5,Estonia,,NaN
6,Ireland,,NaN
7,Greece,,109
8,Spain,,97
9,France,,320
10,Croatia,,6
11,Italy,,184
12,Cyprus,,14
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,NaN
17,Malta,,NaN
18,Netherlands,,78
19,Austria,,18
20,Poland,,34
21,Portugal,,109
22,Romania,,42
23,Slovenia,,NaN
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,NaN
27,United Kingdom,,NaN
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,NaN
