,Region,551,556
0,Belgium,,NaN
1,Bulgaria,,15
2,Czechia,,NaN
3,Denmark,,NaN
4,Germany,,217
5,Estonia,,NaN
6,Ireland,,NaN
7,Greece,,38
8,Spain,,25
9,France,,168
10,Croatia,,NaN
11,Italy,,101
12,Cyprus,,NaN
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,NaN
17,Malta,,NaN
18,Netherlands,,28
19,Austria,,NaN
20,Poland,,22
21,Portugal,,158
22,Romania,,7
23,Slovenia,,NaN
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,NaN
27,United Kingdom,,NaN
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,NaN
