,Region,537,542
0,Belgium,,4
1,Bulgaria,,33
2,Czechia,,NaN
3,Denmark,,NaN
4,Germany,,179
5,Estonia,,NaN
6,Ireland,,NaN
7,Greece,,65
8,Spain,,13
9,France,,147
10,Croatia,,6
11,Italy,,118
12,Cyprus,,NaN
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,9
17,Malta,,NaN
18,Netherlands,,7
19,Austria,,NaN
20,Poland,,58
21,Portugal,,47
22,Romania,,11
23,Slovenia,,NaN
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,NaN
27,United Kingdom,,NaN
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,NaN
