,Region,530,535
0,Belgium,,9
1,Bulgaria,,71
2,Czechia,,10
3,Denmark,,NaN
4,Germany,,223
5,Estonia,,NaN
6,Ireland,,6
7,Greece,,54
8,Spain,,13
9,France,,168
10,Croatia,,21
11,Italy,,167
12,Cyprus,,NaN
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,4
17,Malta,,NaN
18,Netherlands,,22
19,Austria,,NaN
20,Poland,,82
21,Portugal,,48
22,Romania,,19
23,Slovenia,,NaN
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,NaN
27,United Kingdom,,NaN
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,NaN
