,Region,656,661
0,Belgium,,67
1,Bulgaria,,1083
2,Czechia,,301
3,Denmark,,51
4,Germany,,956
5,Estonia,,NaN
6,Ireland,,47
7,Greece,,367
8,Spain,,11
9,France,,263
10,Croatia,,365
11,Italy,,354
12,Cyprus,,NaN
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,334
17,Malta,,NaN
18,Netherlands,,235
19,Austria,,158
20,Poland,,1125
21,Portugal,,54
22,Romania,,2763
23,Slovenia,,7
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,7
27,United Kingdom,,NaN
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,6
