,Region,607,612
0,Belgium,,14
1,Bulgaria,,498
2,Czechia,,NaN
3,Denmark,,13
4,Germany,,371
5,Estonia,,NaN
6,Ireland,,21
7,Greece,,293
8,Spain,,63
9,France,,308
10,Croatia,,60
11,Italy,,445
12,Cyprus,,8
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,22
17,Malta,,NaN
18,Netherlands,,60
19,Austria,,65
20,Poland,,73
21,Portugal,,44
22,Romania,,1032
23,Slovenia,,9
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,7
27,United Kingdom,,NaN
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,9
