,Region,572,577
0,Belgium,,7
1,Bulgaria,,90
2,Czechia,,NaN
3,Denmark,,NaN
4,Germany,,69
5,Estonia,,NaN
6,Ireland,,NaN
7,Greece,,176
8,Spain,,199
9,France,,319
10,Croatia,,16
11,Italy,,287
12,Cyprus,,14
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,NaN
17,Malta,,NaN
18,Netherlands,,38
19,Austria,,10
20,Poland,,11
21,Portugal,,90
22,Romania,,28
23,Slovenia,,NaN
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,NaN
27,United Kingdom,,NaN
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,NaN
