,Region,600,605
0,Belgium,,26
1,Bulgaria,,390
2,Czechia,,NaN
3,Denmark,,37
4,Germany,,260
5,Estonia,,NaN
6,Ireland,,33
7,Greece,,325
8,Spain,,53
9,France,,488
10,Croatia,,99
11,Italy,,440
12,Cyprus,,16
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,NaN
17,Malta,,NaN
18,Netherlands,,28
19,Austria,,38
20,Poland,,48
21,Portugal,,64
22,Romania,,331
23,Slovenia,,NaN
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,NaN
27,United Kingdom,,NaN
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,18
