,Region,523,528
0,Belgium,,11
1,Bulgaria,,19
2,Czechia,,9
3,Denmark,,NaN
4,Germany,,315
5,Estonia,,NaN
6,Ireland,,NaN
7,Greece,,112
8,Spain,,13
9,France,,117
10,Croatia,,16
11,Italy,,236
12,Cyprus,,NaN
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,21
17,Malta,,NaN
18,Netherlands,,16
19,Austria,,169
20,Poland,,114
21,Portugal,,19
22,Romania,,55
23,Slovenia,,NaN
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,NaN
27,United Kingdom,,NaN
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,NaN
