,Region,432,437
0,Belgium,,138
1,Bulgaria,,605
2,Czechia,,1006
3,Denmark,,20
4,Germany,,1108
5,Estonia,,NaN
6,Ireland,,111
7,Greece,,429
8,Spain,,164
9,France,,1850
10,Croatia,,136
11,Italy,,3239
12,Cyprus,,NaN
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,1890
17,Malta,,NaN
18,Netherlands,,180
19,Austria,,177
20,Poland,,2856
21,Portugal,,49
22,Romania,,1089
23,Slovenia,,NaN
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,28
27,United Kingdom,,426
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,25
