,Region,649,654
0,Belgium,,82
1,Bulgaria,,886
2,Czechia,,156
3,Denmark,,20
4,Germany,,634
5,Estonia,,NaN
6,Ireland,,55
7,Greece,,332
8,Spain,,16
9,France,,184
10,Croatia,,197
11,Italy,,292
12,Cyprus,,NaN
13,Latvia,,NaN
14,Lithuania,,NaN
15,Luxembourg,,NaN
16,Hungary,,139
17,Malta,,NaN
18,Netherlands,,110
19,Austria,,95
20,Poland,,691
21,Portugal,,19
22,Romania,,3301
23,Slovenia,,11
24,Slovakia,,NaN
25,Finland,,NaN
26,Sweden,,NaN
27,United Kingdom,,NaN
28,Iceland,,NaN
29,Liechtenstein,,NaN
30,Norway,,NaN
31,Switzerland,,11
