,Region,523,528,535,542,549
0,Belgium,,24,17,11,8
1,Bulgaria,,34,25,18,13
2,Czechia,,19,13,8,6
3,Denmark,,3,2,1,1
4,Germany,,239,145,81,45
5,Estonia,,2,1,1,1
6,Ireland,,30,27,25,24
7,Greece,,76,51,34,22
8,Spain,,123,114,104,92
9,France,,155,103,62,38
10,Croatia,,16,11,7,4
11,Italy,,135,91,61,40
12,Cyprus,,2,2,1,1
13,Latvia,,15,10,7,5
14,Lithuania,,10,6,3,2
15,Luxembourg,,1,0,0,0
16,Hungary,,17,11,7,5
17,Malta,,0,0,0,0
18,Netherlands,,9,6,4,3
19,Austria,,12,8,6,4
20,Poland,,91,54,33,21
21,Portugal,,29,39,52,70
22,Romania,,559,347,217,136
23,Slovenia,,5,3,2,1
24,Slovakia,,22,16,11,8
25,Finland,,3,3,2,2
26,Sweden,,30,22,14,10
27,United Kingdom,,172,258,390,594
28,Iceland,,0,0,0,0
29,Liechtenstein,,0,0,0,0
30,Norway,,2,2,1,1
31,Switzerland,,7,5,3,2
