,Region,747,752,759,766,773
0,Belgium,,298,295,256,190
1,Bulgaria,,632,622,581,523
2,Czechia,,307,373,447,499
3,Denmark,,NaN,NaN,NaN,NaN
4,Germany,,1299,1690,2121,2566
5,Estonia,,50,70,96,130
6,Ireland,,NaN,NaN,NaN,NaN
7,Greece,,654,578,560,550
8,Spain,,1416,1367,1194,925
9,France,,1897,1787,1543,1152
10,Croatia,,364,345,311,269
11,Italy,,2419,2003,1534,1098
12,Cyprus,,18,19,21,26
13,Latvia,,132,180,233,294
14,Lithuania,,185,255,346,462
15,Luxembourg,,11,11,11,10
16,Hungary,,598,661,696,705
17,Malta,,13,9,6,4
18,Netherlands,,NaN,NaN,NaN,NaN
19,Austria,,190,241,278,295
20,Poland,,1680,1831,1878,1788
21,Portugal,,422,431,439,433
22,Romania,,867,1107,1341,1573
23,Slovenia,,139,161,175,180
24,Slovakia,,239,377,608,991
25,Finland,,118,109,100,85
26,Sweden,,NaN,NaN,NaN,NaN
27,United Kingdom,,NaN,NaN,NaN,NaN
28,Iceland,,3,3,3,2
29,Liechtenstein,,2,3,3,4
30,Norway,,NaN,NaN,NaN,NaN
31,Switzerland,,NaN,NaN,NaN,NaN
