,Region,663,668,675,682,689
0,Belgium,,261,343,447,583
1,Bulgaria,,1153,1038,881,718
2,Czechia,,667,994,1465,2149
3,Denmark,,40,56,79,109
4,Germany,,1589,2260,3219,4592
5,Estonia,,71,65,56,46
6,Ireland,,97,123,158,204
7,Greece,,578,744,951,1205
8,Spain,,185,223,281,371
9,France,,266,346,461,623
10,Croatia,,504,669,884,1164
11,Italy,,486,659,902,1242
12,Cyprus,,6,7,9,10
13,Latvia,,229,189,144,104
14,Lithuania,,217,207,193,179
15,Luxembourg,,6,7,8,9
16,Hungary,,1079,1718,2724,4313
17,Malta,,3,5,7,10
18,Netherlands,,251,354,496,693
19,Austria,,302,460,699,1063
20,Poland,,1552,2182,3022,4154
21,Portugal,,54,64,79,97
22,Romania,,1919,1425,966,618
23,Slovenia,,132,167,211,266
24,Slovakia,,377,489,628,803
25,Finland,,32,35,38,42
26,Sweden,,NaN,NaN,NaN,NaN
27,United Kingdom,,1090,1074,1059,1060
28,Iceland,,1,1,1,2
29,Liechtenstein,,1,1,1,1
30,Norway,,38,53,72,100
31,Switzerland,,65,89,126,181
