,Region,698,703,710,717
0,Belgium,,256,210,157
1,Bulgaria,,442,376,318
2,Czechia,,707,604,489
3,Denmark,,99,120,153
4,Germany,,2614,2377,2088
5,Estonia,,24,20,18
6,Ireland,,74,73,71
7,Greece,,580,511,443
8,Spain,,639,1047,1766
9,France,,1295,1522,1703
10,Croatia,,326,284,244
11,Italy,,980,1241,1583
12,Cyprus,,12,14,17
13,Latvia,,70,63,57
14,Lithuania,,123,118,115
15,Luxembourg,,14,16,18
16,Hungary,,982,819,652
17,Malta,,5,6,7
18,Netherlands,,NaN,NaN,NaN
19,Austria,,263,176,106
20,Poland,,3004,2942,2823
21,Portugal,,163,194,226
22,Romania,,323,225,159
23,Slovenia,,68,52,41
24,Slovakia,,452,369,281
25,Finland,,71,83,96
26,Sweden,,NaN,NaN,NaN
27,United Kingdom,,968,1155,1425
28,Iceland,,1,1,1
29,Liechtenstein,,5,7,9
30,Norway,,87,111,140
31,Switzerland,,213,244,268
