,Region,698,703,710,717,724
0,Belgium,,294,295,222,190
1,Bulgaria,,474,382,320,281
2,Czechia,,578,373,237,161
3,Denmark,,77,117,138,149
4,Germany,,2343,1834,1334,916
5,Estonia,,21,25,29,36
6,Ireland,,54,61,63,65
7,Greece,,596,568,529,520
8,Spain,,608,216,369,659
9,France,,1234,1330,1318,1211
10,Croatia,,300,258,208,159
11,Italy,,833,1141,1384,1607
12,Cyprus,,16,15,16,16
13,Latvia,,89,90,102,113
14,Lithuania,,143,135,127,118
15,Luxembourg,,14,12,11,11
16,Hungary,,817,572,375,229
17,Malta,,0,2,3,3
18,Netherlands,,264,189,134,98
19,Austria,,237,153,102,96
20,Poland,,2504,2032,1581,1188
21,Portugal,,137,135,129,126
22,Romania,,330,257,250,271
23,Slovenia,,64,52,42,40
24,Slovakia,,523,361,251,199
25,Finland,,67,49,67,57
26,Sweden,,65,98,134,183
27,United Kingdom,,784,782,808,825
28,Iceland,,NaN,NaN,NaN,NaN
29,Liechtenstein,,1,1,1,0
30,Norway,,65,63,60,58
31,Switzerland,,161,143,128,104
