,Region,684,689,696,703,710
0,Belgium,,382,423,416,380
1,Bulgaria,,638,625,499,433
2,Czechia,,912,848,814,788
3,Denmark,,77,94,93,86
4,Germany,,2287,2190,2092,1910
5,Estonia,,33,23,19,14
6,Ireland,,55,57,58,58
7,Greece,,631,600,586,566
8,Spain,,193,211,307,394
9,France,,828,1053,1305,1504
10,Croatia,,398,327,256,186
11,Italy,,589,676,779,852
12,Cyprus,,5,16,18,18
13,Latvia,,102,94,79,75
14,Lithuania,,153,142,129,117
15,Luxembourg,,16,16,16,16
16,Hungary,,1094,973,805,633
17,Malta,,3,4,5,5
18,Netherlands,,369,351,306,256
19,Austria,,398,386,365,327
20,Poland,,2696,2684,2707,2689
21,Portugal,,102,109,114,114
22,Romania,,484,409,407,363
23,Slovenia,,95,75,55,41
24,Slovakia,,520,510,476,434
25,Finland,,63,64,67,66
26,Sweden,,35,39,47,54
27,United Kingdom,,813,805,805,816
28,Iceland,,NaN,NaN,NaN,NaN
29,Liechtenstein,,NaN,NaN,NaN,NaN
30,Norway,,48,54,55,54
31,Switzerland,,138,151,149,138
