,Region,691,696,703,710,717
0,Belgium,,280,254,240,233
1,Bulgaria,,643,552,496,448
2,Czechia,,728,620,523,517
3,Denmark,,78,85,83,78
4,Germany,,2459,2182,1869,1500
5,Estonia,,23,21,16,17
6,Ireland,,67,62,59,57
7,Greece,,589,541,492,456
8,Spain,,223,312,396,458
9,France,,1091,1316,1452,1425
10,Croatia,,338,272,204,144
11,Italy,,690,740,788,814
12,Cyprus,,19,16,15,16
13,Latvia,,122,114,98,92
14,Lithuania,,132,122,114,105
15,Luxembourg,,15,13,12,12
16,Hungary,,940,643,426,273
17,Malta,,5,4,4,4
18,Netherlands,,396,351,291,234
19,Austria,,347,216,86,24
20,Poland,,2685,2660,2535,2319
21,Portugal,,120,127,125,117
22,Romania,,363,367,287,312
23,Slovenia,,87,64,50,40
24,Slovakia,,478,348,246,168
25,Finland,,63,67,69,70
26,Sweden,,13,33,44,66
27,United Kingdom,,816,852,869,884
28,Iceland,,NaN,NaN,NaN,NaN
29,Liechtenstein,,1,1,1,1
30,Norway,,50,58,60,60
31,Switzerland,,170,178,168,154
