,State,691,696,703
0,Washington,NaN,9644,9619
1,Illinois,NaN,52027,59405
2,California,NaN,48635,48309
3,Arizona,NaN,24222,23519
4,Massachusetts,NaN,35500,37135
5,Wisconsin,NaN,25061,24923
6,Texas,NaN,34976,42162
7,Nebraska,NaN,7761,8312
8,Utah,NaN,8242,7827
9,Oregon,NaN,5788,5872
10,Florida,NaN,14797,19089
11,New York,NaN,70984,74723
12,Rhode Island,NaN,6544,7287
13,Georgia,NaN,10357,11516
14,New Hampshire,NaN,8755,9125
15,North Carolina,NaN,22680,27531
16,New Jersey,NaN,34280,40170
17,Colorado,NaN,14855,13672
18,Maryland,NaN,4017,4377
19,Nevada,NaN,4508,4637
20,Tennessee,NaN,13168,14378
21,Hawaii,NaN,823,854
22,Indiana,NaN,33493,36286
23,Kentucky,NaN,16350,17531
24,Minnesota,NaN,28987,27720
25,Oklahoma,NaN,8505,9327
26,Pennsylvania,NaN,57035,58591
27,South Carolina,NaN,7888,8969
28,District of Columbia,NaN,1358,1307
29,Kansas,NaN,12255,14088
30,Missouri,NaN,20039,21607
31,Vermont,NaN,3174,3314
32,Virginia,NaN,17697,19860
33,Connecticut,NaN,14246,17240
34,Iowa,NaN,12609,12741
35,Louisiana,NaN,3241,3610
36,Ohio,NaN,51397,56759
37,Michigan,NaN,52977,50110
38,South Dakota,NaN,3105,2985
39,Arkansas,NaN,5684,6133
40,Delaware,NaN,4446,4642
41,Mississippi,NaN,3814,4432
42,New Mexico,NaN,9209,9072
43,North Dakota,NaN,2510,2375
44,Wyoming,NaN,968,979
45,Alaska,NaN,1228,1094
46,Maine,NaN,5948,6641
47,Alabama,NaN,3813,3881
48,Idaho,NaN,2776,2665
49,Montana,NaN,1313,1032
50,Puerto Rico,NaN,720,792
51,Virgin Islands,NaN,46,42
52,Guam,NaN,53,50
53,West Virginia,NaN,6799,6725
54,Northern Mariana Islands,NaN,285,410
55,American Samoa,NaN,0,0
