,State,670,675,682
0,Washington,NaN,11641,11207
1,Illinois,NaN,31674,35278
2,California,NaN,34167,33397
3,Arizona,NaN,27302,28620
4,Massachusetts,NaN,18813,21197
5,Wisconsin,NaN,25410,27085
6,Texas,NaN,23449,23613
7,Nebraska,NaN,6683,6848
8,Utah,NaN,11177,10899
9,Oregon,NaN,5533,5292
10,Florida,NaN,9891,9891
11,New York,NaN,47443,49749
12,Rhode Island,NaN,3528,3672
13,Georgia,NaN,7723,8406
14,New Hampshire,NaN,6778,7067
15,North Carolina,NaN,13230,13704
16,New Jersey,NaN,14571,17038
17,Colorado,NaN,22393,21383
18,Maryland,NaN,6472,7063
19,Nevada,NaN,4412,4449
20,Tennessee,NaN,9486,10332
21,Hawaii,NaN,914,913
22,Indiana,NaN,19657,21687
23,Kentucky,NaN,10264,10545
24,Minnesota,NaN,29693,30007
25,Oklahoma,NaN,5869,5992
26,Pennsylvania,NaN,41531,43174
27,South Carolina,NaN,4558,4519
28,District of Columbia,NaN,670,772
29,Kansas,NaN,8442,8893
30,Missouri,NaN,16905,19127
31,Vermont,NaN,2707,2912
32,Virginia,NaN,10449,10654
33,Connecticut,NaN,5119,5914
34,Iowa,NaN,9952,10358
35,Louisiana,NaN,2885,2947
36,Ohio,NaN,38191,39173
37,Michigan,NaN,60699,62259
38,South Dakota,NaN,3027,3090
39,Arkansas,NaN,4413,4993
40,Delaware,NaN,2364,2506
41,Mississippi,NaN,2221,2239
42,New Mexico,NaN,10241,10273
43,North Dakota,NaN,3247,3141
44,Wyoming,NaN,1713,1565
45,Alaska,NaN,2634,2240
46,Maine,NaN,4250,4708
47,Alabama,NaN,3116,2970
48,Idaho,NaN,2830,2397
49,Montana,NaN,3364,3083
50,Puerto Rico,NaN,871,886
51,Virgin Islands,NaN,90,93
52,Guam,NaN,136,102
53,West Virginia,NaN,5800,5627
54,Northern Mariana Islands,NaN,50,49
55,American Samoa,NaN,0,0
