,State,677,682,689
0,Washington,NaN,7511,7073
1,Illinois,NaN,28527,28520
2,California,NaN,23782,23298
3,Arizona,NaN,26506,25265
4,Massachusetts,NaN,20071,21513
5,Wisconsin,NaN,23360,22576
6,Texas,NaN,17384,16448
7,Nebraska,NaN,4511,3934
8,Utah,NaN,8898,8267
9,Oregon,NaN,4226,3818
10,Florida,NaN,4390,3577
11,New York,NaN,46137,45979
12,Rhode Island,NaN,2886,2926
13,Georgia,NaN,6067,5294
14,New Hampshire,NaN,5384,5304
15,North Carolina,NaN,11566,10234
16,New Jersey,NaN,15985,17467
17,Colorado,NaN,17810,16380
18,Maryland,NaN,6329,6434
19,Nevada,NaN,3449,3126
20,Tennessee,NaN,7669,6752
21,Hawaii,NaN,763,709
22,Indiana,NaN,19734,20077
23,Kentucky,NaN,8922,8339
24,Minnesota,NaN,24809,23537
25,Oklahoma,NaN,4291,4162
26,Pennsylvania,NaN,41415,40909
27,South Carolina,NaN,4166,4048
28,District of Columbia,NaN,560,546
29,Kansas,NaN,6420,5893
30,Missouri,NaN,10673,11448
31,Vermont,NaN,2189,2342
32,Virginia,NaN,10487,10564
33,Connecticut,NaN,5762,5918
34,Iowa,NaN,9795,9745
35,Louisiana,NaN,2047,1958
36,Ohio,NaN,35523,33996
37,Michigan,NaN,49648,45006
38,South Dakota,NaN,2248,2053
39,Arkansas,NaN,3987,4196
40,Delaware,NaN,2467,2382
41,Mississippi,NaN,1948,1972
42,New Mexico,NaN,7130,6578
43,North Dakota,NaN,2898,2639
44,Wyoming,NaN,1080,846
45,Alaska,NaN,1861,1639
46,Maine,NaN,3422,3288
47,Alabama,NaN,2264,2222
48,Idaho,NaN,2466,2161
49,Montana,NaN,2134,1788
50,Puerto Rico,NaN,734,699
51,Virgin Islands,NaN,62,60
52,Guam,NaN,89,64
53,West Virginia,NaN,4458,3680
54,Northern Mariana Islands,NaN,9,5
55,American Samoa,NaN,0,0
