,State,684,689,696
0,Washington,NaN,9015,9494
1,Illinois,NaN,42571,43389
2,California,NaN,38276,41396
3,Arizona,NaN,23922,22350
4,Massachusetts,NaN,27232,27814
5,Wisconsin,NaN,28347,24830
6,Texas,NaN,24681,25139
7,Nebraska,NaN,6411,6138
8,Utah,NaN,8812,8267
9,Oregon,NaN,5307,5201
10,Florida,NaN,10806,10564
11,New York,NaN,56536,58444
12,Rhode Island,NaN,5169,5286
13,Georgia,NaN,7539,7690
14,New Hampshire,NaN,7692,6339
15,North Carolina,NaN,17732,17903
16,New Jersey,NaN,23888,28007
17,Colorado,NaN,15019,13339
18,Maryland,NaN,8859,9279
19,Nevada,NaN,4000,3740
20,Tennessee,NaN,11000,11337
21,Hawaii,NaN,685,629
22,Indiana,NaN,29196,30277
23,Kentucky,NaN,14369,14513
24,Minnesota,NaN,28842,25150
25,Oklahoma,NaN,6074,5537
26,Pennsylvania,NaN,50279,49506
27,South Carolina,NaN,5720,5896
28,District of Columbia,NaN,670,694
29,Kansas,NaN,9568,9395
30,Missouri,NaN,17436,18374
31,Vermont,NaN,2792,2881
32,Virginia,NaN,12760,12860
33,Connecticut,NaN,7510,7900
34,Iowa,NaN,11194,12050
35,Louisiana,NaN,2940,3082
36,Ohio,NaN,50554,51473
37,Michigan,NaN,50462,46719
38,South Dakota,NaN,3316,3254
39,Arkansas,NaN,5199,5742
40,Delaware,NaN,3185,3454
41,Mississippi,NaN,2608,2696
42,New Mexico,NaN,9198,8735
43,North Dakota,NaN,3145,2882
44,Wyoming,NaN,1040,868
45,Alaska,NaN,1667,1518
46,Maine,NaN,3519,3875
47,Alabama,NaN,2616,2382
48,Idaho,NaN,2628,2537
49,Montana,NaN,1774,1468
50,Puerto Rico,NaN,714,693
51,Virgin Islands,NaN,32,30
52,Guam,NaN,63,59
53,West Virginia,NaN,6310,6662
54,Northern Mariana Islands,NaN,0,0
55,American Samoa,NaN,0,0
