,State,698,703,710
0,Washington,NaN,9917,10001
1,Illinois,NaN,61351,62663
2,California,NaN,47626,47640
3,Arizona,NaN,19257,18012
4,Massachusetts,NaN,37013,36908
5,Wisconsin,NaN,31594,30097
6,Texas,NaN,40143,44722
7,Nebraska,NaN,5661,5814
8,Utah,NaN,6319,5995
9,Oregon,NaN,4831,4502
10,Florida,NaN,25020,34460
11,New York,NaN,102828,107538
12,Rhode Island,NaN,7649,7718
13,Georgia,NaN,14614,15594
14,New Hampshire,NaN,8947,8600
15,North Carolina,NaN,23932,25599
16,New Jersey,NaN,43255,47293
17,Colorado,NaN,11157,9569
18,Maryland,NaN,107,274
19,Nevada,NaN,4663,4894
20,Tennessee,NaN,13353,13425
21,Hawaii,NaN,2393,2760
22,Indiana,NaN,31283,31519
23,Kentucky,NaN,15223,15317
24,Minnesota,NaN,20713,18026
25,Oklahoma,NaN,6414,6171
26,Pennsylvania,NaN,56524,57775
27,South Carolina,NaN,7688,8096
28,District of Columbia,NaN,2145,2585
29,Kansas,NaN,12102,13296
30,Missouri,NaN,20018,21215
31,Vermont,NaN,2881,3083
32,Virginia,NaN,20344,22306
33,Connecticut,NaN,17530,19994
34,Iowa,NaN,10261,9789
35,Louisiana,NaN,4924,5305
36,Ohio,NaN,62635,63804
37,Michigan,NaN,44775,42092
38,South Dakota,NaN,2352,2178
39,Arkansas,NaN,5081,5844
40,Delaware,NaN,5011,5145
41,Mississippi,NaN,3468,3686
42,New Mexico,NaN,7012,6603
43,North Dakota,NaN,2131,2025
44,Wyoming,NaN,717,635
45,Alaska,NaN,1060,953
46,Maine,NaN,7244,7372
47,Alabama,NaN,5898,6253
48,Idaho,NaN,2275,2189
49,Montana,NaN,932,748
50,Puerto Rico,NaN,948,1622
51,Virgin Islands,NaN,53,54
52,Guam,NaN,61,73
53,West Virginia,NaN,7280,6920
54,Northern Mariana Islands,NaN,711,862
55,American Samoa,NaN,0,0
