,State,403,409,416
0,Washington,4956,138,131
1,Illinois,22735,342,353
2,California,52158,2590,2487
3,Arizona,15980,383,310
4,Massachusetts,16118,224,198
5,Wisconsin,7014,126,119
6,Texas,43697,1497,1478
7,Nebraska,2082,45,46
8,Utah,1935,55,56
9,Oregon,2208,66,73
10,Florida,30852,854,806
11,New York,47615,763,711
12,Rhode Island,2502,99,86
13,Georgia,17295,539,542
14,New Hampshire,1170,26,24
15,North Carolina,11212,359,338
16,New Jersey,23252,371,345
17,Colorado,5951,151,131
18,Maryland,7869,168,164
19,Nevada,4957,105,116
20,Tennessee,11411,277,264
21,Hawaii,438,16,17
22,Indiana,12573,220,206
23,Kentucky,4637,196,193
24,Minnesota,6551,96,88
25,Oklahoma,4428,212,205
26,Pennsylvania,23967,334,300
27,South Carolina,8546,295,286
28,District of Columbia,1017,16,14
29,Kansas,4692,112,106
30,Missouri,8280,174,166
31,Vermont,204,9,9
32,Virginia,8552,739,588
33,Connecticut,7622,100,98
34,Iowa,5471,123,114
35,Louisiana,9608,174,173
36,Ohio,17297,389,365
37,Michigan,16508,238,235
38,South Dakota,1888,29,29
39,Arkansas,5243,112,109
40,Delaware,1422,44,43
41,Mississippi,6681,144,154
42,New Mexico,3716,110,117
43,North Dakota,1475,11,12
44,Wyoming,671,15,15
45,Alaska,290,10,14
46,Maine,703,28,28
47,Alabama,9929,262,243
48,Idaho,1860,42,42
49,Montana,1357,37,42
50,Puerto Rico,2036,NaN,NaN
51,Virgin Islands,25,NaN,NaN
52,Guam,130,NaN,NaN
53,West Virginia,2300,55,54
54,Northern Mariana Islands,2,NaN,NaN
55,American Samoa,0,NaN,NaN
