,State,305,311,318
0,Washington,2619,122,157
1,Illinois,12050,870,898
2,California,18726,632,807
3,Arizona,6464,213,245
4,Massachusetts,10512,194,202
5,Wisconsin,3150,464,496
6,Texas,21013,1038,1179
7,Nebraska,909,163,181
8,Utah,793,87,112
9,Oregon,820,77,98
10,Florida,17991,572,668
11,New York,34319,322,387
12,Rhode Island,1294,44,52
13,Georgia,9198,294,368
14,New Hampshire,512,17,22
15,North Carolina,5034,301,357
16,New Jersey,16761,239,284
17,Colorado,2806,302,329
18,Maryland,4434,164,184
19,Nevada,2017,118,144
20,Tennessee,4266,380,419
21,Hawaii,233,7,8
22,Indiana,5305,430,469
23,Kentucky,1787,197,247
24,Minnesota,3297,390,424
25,Oklahoma,1634,169,214
26,Pennsylvania,9816,552,573
27,South Carolina,4283,190,221
28,District of Columbia,670,9,9
29,Kansas,1410,190,228
30,Missouri,3578,257,309
31,Vermont,63,7,10
32,Virginia,3938,179,215
33,Connecticut,4828,109,121
34,Iowa,2202,257,297
35,Louisiana,6260,324,342
36,Ohio,5996,424,540
37,Michigan,8875,538,584
38,South Dakota,819,136,136
39,Arkansas,2357,178,195
40,Delaware,748,22,29
41,Mississippi,3676,162,185
42,New Mexico,1383,169,183
43,North Dakota,846,109,108
44,Wyoming,176,41,50
45,Alaska,103,22,30
46,Maine,176,16,20
47,Alabama,3457,223,244
48,Idaho,849,99,107
49,Montana,603,98,115
50,Puerto Rico,1017,NaN,NaN
51,Virgin Islands,23,NaN,NaN
52,Guam,103,NaN,NaN
53,West Virginia,662,104,120
54,Northern Mariana Islands,2,NaN,NaN
55,American Samoa,0,NaN,NaN
