,State,298,304,311
0,Washington,2519,86,105
1,Illinois,11162,596,620
2,California,18262,366,457
3,Arizona,6302,147,148
4,Massachusetts,10329,149,154
5,Wisconsin,2751,267,296
6,Texas,19995,754,833
7,Nebraska,779,103,119
8,Utah,718,69,95
9,Oregon,761,54,74
10,Florida,17518,390,413
11,New York,34032,197,248
12,Rhode Island,1254,28,30
13,Georgia,8957,294,307
14,New Hampshire,499,13,17
15,North Carolina,4806,182,203
16,New Jersey,16566,147,168
17,Colorado,2546,169,179
18,Maryland,4302,96,111
19,Nevada,1909,69,88
20,Tennessee,3893,278,309
21,Hawaii,222,4,5
22,Indiana,4910,329,379
23,Kentucky,1661,144,188
24,Minnesota,2961,289,300
25,Oklahoma,1528,139,163
26,Pennsylvania,9290,262,296
27,South Carolina,4112,117,131
28,District of Columbia,660,5,6
29,Kansas,1256,116,150
30,Missouri,3387,247,294
31,Vermont,59,3,6
32,Virginia,3800,100,136
33,Connecticut,4737,68,76
34,Iowa,1989,212,239
35,Louisiana,6132,102,119
36,Ohio,5722,313,404
37,Michigan,8376,398,436
38,South Dakota,644,99,107
39,Arkansas,2183,111,124
40,Delaware,736,20,25
41,Mississippi,3543,108,112
42,New Mexico,1215,108,113
43,North Dakota,736,89,93
44,Wyoming,144,40,47
45,Alaska,98,21,24
46,Maine,165,11,18
47,Alabama,3248,157,160
48,Idaho,759,79,88
49,Montana,520,72,84
50,Puerto Rico,935,NaN,NaN
51,Virgin Islands,23,NaN,NaN
52,Guam,92,NaN,NaN
53,West Virginia,582,67,78
54,Northern Mariana Islands,2,NaN,NaN
55,American Samoa,0,NaN,NaN
