,State,691,696,703,710,717,724
0,Washington,NaN,118,464,464,372,579
1,Illinois,NaN,292,161,112,34,55
2,California,NaN,405,408,424,440,433
3,Arizona,NaN,543,358,236,279,252
4,Massachusetts,NaN,148,121,115,88,43
5,Wisconsin,NaN,293,205,123,109,130
6,Texas,NaN,352,260,256,221,285
7,Nebraska,NaN,113,80,33,21,17
8,Utah,NaN,75,52,36,38,34
9,Oregon,NaN,143,146,126,148,136
10,Florida,NaN,257,114,167,174,164
11,New York,NaN,441,322,237,215,233
12,Rhode Island,NaN,12,8,9,8,8
13,Georgia,NaN,131,121,125,127,127
14,New Hampshire,NaN,36,34,31,31,31
15,North Carolina,NaN,152,78,125,57,123
16,New Jersey,NaN,115,126,104,107,59
17,Colorado,NaN,305,257,159,114,112
18,Maryland,NaN,5,11,13,12,19
19,Nevada,NaN,131,60,50,52,70
20,Tennessee,NaN,292,257,192,73,72
21,Hawaii,NaN,NaN,NaN,NaN,NaN,NaN
22,Indiana,NaN,290,22,97,104,144
23,Kentucky,NaN,569,656,261,322,261
24,Minnesota,NaN,245,90,213,223,85
25,Oklahoma,NaN,52,4,4,4,4
26,Pennsylvania,NaN,772,846,937,793,947
27,South Carolina,NaN,115,61,125,82,205
28,District of Columbia,NaN,NaN,NaN,NaN,NaN,NaN
29,Kansas,NaN,136,93,4,44,55
30,Missouri,NaN,76,296,249,313,284
31,Vermont,NaN,14,20,20,2,2
32,Virginia,NaN,156,137,121,119,124
33,Connecticut,NaN,41,7,1,1,1
34,Iowa,NaN,113,1,1,1,1
35,Louisiana,NaN,52,61,75,86,65
36,Ohio,NaN,540,467,429,433,433
37,Michigan,NaN,778,324,420,179,58
38,South Dakota,NaN,43,21,13,10,15
39,Arkansas,NaN,163,200,192,192,200
40,Delaware,NaN,25,7,10,16,13
41,Mississippi,NaN,28,7,48,13,39
42,New Mexico,NaN,54,29,30,108,27
43,North Dakota,NaN,34,6,1,3,2
44,Wyoming,NaN,33,33,33,33,33
45,Alaska,NaN,NaN,NaN,NaN,NaN,NaN
46,Maine,NaN,30,27,10,19,27
47,Alabama,NaN,85,30,56,32,56
48,Idaho,NaN,54,60,86,72,107
49,Montana,NaN,72,69,42,34,25
50,Puerto Rico,NaN,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,NaN,113,62,56,64,58
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN
