,State,796,801,808,815,822,829
0,Washington,NaN,82,116,118,96,125
1,Illinois,NaN,102,171,174,180,184
2,California,NaN,502,789,771,802,854
3,Arizona,NaN,291,470,443,453,473
4,Massachusetts,NaN,21,21,21,21,21
5,Wisconsin,NaN,238,565,574,581,588
6,Texas,NaN,432,545,560,571,578
7,Nebraska,NaN,3,5,4,4,4
8,Utah,NaN,211,1555,1949,1742,1514
9,Oregon,NaN,52,77,80,83,91
10,Florida,NaN,223,265,274,253,230
11,New York,NaN,86,197,199,201,202
12,Rhode Island,NaN,9,34,24,24,24
13,Georgia,NaN,242,345,302,342,289
14,New Hampshire,NaN,8,10,9,9,10
15,North Carolina,NaN,107,176,176,179,178
16,New Jersey,NaN,35,76,76,76,76
17,Colorado,NaN,74,46,61,38,74
18,Maryland,NaN,26,70,76,72,74
19,Nevada,NaN,123,242,265,303,306
20,Tennessee,NaN,48,50,40,53,54
21,Hawaii,NaN,NaN,NaN,NaN,NaN,NaN
22,Indiana,NaN,50,96,96,97,97
23,Kentucky,NaN,277,306,318,352,381
24,Minnesota,NaN,54,113,111,113,113
25,Oklahoma,NaN,288,2048,2380,2240,1932
26,Pennsylvania,NaN,208,518,521,521,524
27,South Carolina,NaN,169,305,267,328,275
28,District of Columbia,NaN,NaN,NaN,NaN,NaN,NaN
29,Kansas,NaN,56,106,110,111,112
30,Missouri,NaN,154,245,247,258,263
31,Vermont,NaN,4,8,9,11,12
32,Virginia,NaN,111,147,104,173,186
33,Connecticut,NaN,33,97,74,99,71
34,Iowa,NaN,42,58,48,49,48
35,Louisiana,NaN,69,100,96,94,94
36,Ohio,NaN,178,8481,6465,4797,3893
37,Michigan,NaN,128,299,300,300,302
38,South Dakota,NaN,3,1,1,1,1
39,Arkansas,NaN,111,158,151,158,168
40,Delaware,NaN,2,2,2,2,2
41,Mississippi,NaN,39,49,52,55,53
42,New Mexico,NaN,50,76,78,79,79
43,North Dakota,NaN,0,0,0,0,0
44,Wyoming,NaN,11,16,16,18,17
45,Alaska,NaN,NaN,NaN,NaN,NaN,NaN
46,Maine,NaN,8,13,10,10,11
47,Alabama,NaN,157,173,110,111,105
48,Idaho,NaN,49,80,80,80,80
49,Montana,NaN,6,10,11,8,10
50,Puerto Rico,NaN,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,NaN,91,279,275,290,297
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN
