,State,578,584,591
0,Washington,NaN,20225,19693
1,Illinois,NaN,30864,37033
2,California,NaN,106327,110598
3,Arizona,NaN,16984,17076
4,Massachusetts,NaN,10016,11086
5,Wisconsin,NaN,11143,12510
6,Texas,NaN,132686,139046
7,Nebraska,NaN,957,1471
8,Utah,NaN,5603,5536
9,Oregon,NaN,14431,13941
10,Florida,NaN,139824,133067
11,New York,NaN,33498,35600
12,Rhode Island,NaN,1966,2075
13,Georgia,NaN,57899,63299
14,New Hampshire,NaN,1889,2122
15,North Carolina,NaN,39208,40712
16,New Jersey,NaN,16062,17911
17,Colorado,NaN,11028,12263
18,Maryland,NaN,9082,10697
19,Nevada,NaN,8178,8474
20,Tennessee,NaN,35891,38579
21,Hawaii,NaN,3974,3865
22,Indiana,NaN,23238,25647
23,Kentucky,NaN,23317,24410
24,Minnesota,NaN,9256,9732
25,Oklahoma,NaN,18327,20014
26,Pennsylvania,NaN,20146,22515
27,South Carolina,NaN,28558,31167
28,District of Columbia,NaN,1195,1216
29,Kansas,NaN,9090,9912
30,Missouri,NaN,18110,19827
31,Vermont,NaN,954,998
32,Virginia,NaN,19652,22709
33,Connecticut,NaN,5148,6054
34,Iowa,NaN,7348,8682
35,Louisiana,NaN,33659,32896
36,Ohio,NaN,26100,30205
37,Michigan,NaN,16980,20806
38,South Dakota,NaN,1933,2245
39,Arkansas,NaN,15156,15562
40,Delaware,NaN,2986,3329
41,Mississippi,NaN,25682,26195
42,New Mexico,NaN,7408,9188
43,North Dakota,NaN,1639,1818
44,Wyoming,NaN,2413,2511
45,Alaska,NaN,2717,2698
46,Maine,NaN,1391,1601
47,Alabama,NaN,31329,31696
48,Idaho,NaN,5109,5337
49,Montana,NaN,3467,4243
50,Puerto Rico,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN
53,West Virginia,NaN,6076,6731
54,Northern Mariana Islands,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN
