,State,536,542,549
0,Washington,NaN,3224,4024
1,Illinois,NaN,3962,5077
2,California,NaN,17357,22023
3,Arizona,NaN,5148,6097
4,Massachusetts,NaN,828,1169
5,Wisconsin,NaN,970,1293
6,Texas,NaN,16998,22224
7,Nebraska,NaN,61,124
8,Utah,NaN,2584,3499
9,Oregon,NaN,1636,2087
10,Florida,NaN,29544,36241
11,New York,NaN,4483,5675
12,Rhode Island,NaN,213,321
13,Georgia,NaN,5290,7152
14,New Hampshire,NaN,189,218
15,North Carolina,NaN,4209,5463
16,New Jersey,NaN,2138,2745
17,Colorado,NaN,3991,4940
18,Maryland,NaN,779,1082
19,Nevada,NaN,3844,4390
20,Tennessee,NaN,3007,4023
21,Hawaii,NaN,474,524
22,Indiana,NaN,3143,4067
23,Kentucky,NaN,1906,2397
24,Minnesota,NaN,889,1193
25,Oklahoma,NaN,2255,3042
26,Pennsylvania,NaN,1624,2289
27,South Carolina,NaN,2478,3258
28,District of Columbia,NaN,73,93
29,Kansas,NaN,2423,3001
30,Missouri,NaN,11954,14809
31,Vermont,NaN,60,80
32,Virginia,NaN,2424,3224
33,Connecticut,NaN,666,952
34,Iowa,NaN,2086,2636
35,Louisiana,NaN,6244,7866
36,Ohio,NaN,2563,3436
37,Michigan,NaN,2083,2757
38,South Dakota,NaN,103,149
39,Arkansas,NaN,5849,7265
40,Delaware,NaN,232,301
41,Mississippi,NaN,2509,3166
42,New Mexico,NaN,811,1136
43,North Dakota,NaN,143,181
44,Wyoming,NaN,649,768
45,Alaska,NaN,386,447
46,Maine,NaN,164,208
47,Alabama,NaN,4149,5278
48,Idaho,NaN,799,986
49,Montana,NaN,541,732
50,Puerto Rico,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN
53,West Virginia,NaN,437,588
54,Northern Mariana Islands,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN
