,State,515,521,528
0,Washington,447203,2423,1945
1,Illinois,1388634,1506,1470
2,California,3808258,5553,4987
3,Arizona,889727,2407,1884
4,Massachusetts,709395,452,434
5,Wisconsin,676673,625,566
6,Texas,2985659,8119,7710
7,Nebraska,223986,31,57
8,Utah,411610,1110,975
9,Oregon,206777,1325,1080
10,Florida,2354416,8316,7348
11,New York,2111845,2230,2049
12,Rhode Island,152383,168,151
13,Georgia,1131048,2188,2000
14,New Hampshire,99254,164,149
15,North Carolina,1010113,2052,1720
16,New Jersey,1021182,1601,1431
17,Colorado,553868,2351,1908
18,Maryland,461739,499,448
19,Nevada,328875,1378,1285
20,Tennessee,866027,1301,1220
21,Hawaii,37353,197,178
22,Indiana,751242,1810,1572
23,Kentucky,463337,1568,1431
24,Minnesota,604509,681,591
25,Oklahoma,455535,948,859
26,Pennsylvania,1214895,1630,1365
27,South Carolina,595448,689,680
28,District of Columbia,49243,47,43
29,Kansas,317610,676,643
30,Missouri,617498,3406,2937
31,Vermont,24360,40,39
32,Virginia,678649,850,828
33,Connecticut,348665,314,290
34,Iowa,373098,523,497
35,Louisiana,477453,1677,1433
36,Ohio,1108902,1742,1543
37,Michigan,998149,1135,1097
38,South Dakota,124393,90,84
39,Arkansas,345605,1326,1143
40,Delaware,109548,163,147
41,Mississippi,319948,712,630
42,New Mexico,204698,563,532
43,North Dakota,110567,112,112
44,Wyoming,61490,317,247
45,Alaska,70875,138,126
46,Maine,68826,214,164
47,Alabama,548657,1154,965
48,Idaho,194006,407,355
49,Montana,113167,418,365
50,Puerto Rico,139753,NaN,NaN
51,Virgin Islands,3752,NaN,NaN
52,Guam,8267,NaN,NaN
53,West Virginia,163382,369,329
54,Northern Mariana Islands,183,NaN,NaN
55,American Samoa,0,NaN,NaN
