,State,662,668,675
0,Washington,NaN,14122,15822
1,Illinois,NaN,25583,27889
2,California,NaN,47702,51105
3,Arizona,NaN,24348,24746
4,Massachusetts,NaN,12812,14676
5,Wisconsin,NaN,23917,26230
6,Texas,NaN,27113,30272
7,Nebraska,NaN,8583,9467
8,Utah,NaN,8848,9563
9,Oregon,NaN,6837,7504
10,Florida,NaN,12010,13671
11,New York,NaN,40231,43383
12,Rhode Island,NaN,2093,2473
13,Georgia,NaN,8294,9188
14,New Hampshire,NaN,5749,5997
15,North Carolina,NaN,13275,13992
16,New Jersey,NaN,11069,12020
17,Colorado,NaN,23466,25716
18,Maryland,NaN,6089,6809
19,Nevada,NaN,4654,4998
20,Tennessee,NaN,9095,10416
21,Hawaii,NaN,835,861
22,Indiana,NaN,21949,24791
23,Kentucky,NaN,10010,11104
24,Minnesota,NaN,27779,28709
25,Oklahoma,NaN,6408,7557
26,Pennsylvania,NaN,53502,56474
27,South Carolina,NaN,5145,5614
28,District of Columbia,NaN,634,695
29,Kansas,NaN,8611,9427
30,Missouri,NaN,10241,11908
31,Vermont,NaN,2828,2993
32,Virginia,NaN,9789,10782
33,Connecticut,NaN,3162,3611
34,Iowa,NaN,9395,10668
35,Louisiana,NaN,2916,3251
36,Ohio,NaN,37416,41369
37,Michigan,NaN,40612,43205
38,South Dakota,NaN,2597,2968
39,Arkansas,NaN,3798,4099
40,Delaware,NaN,2154,2361
41,Mississippi,NaN,2173,2301
42,New Mexico,NaN,10336,10867
43,North Dakota,NaN,3521,3904
44,Wyoming,NaN,2398,2701
45,Alaska,NaN,3074,3249
46,Maine,NaN,3542,3789
47,Alabama,NaN,4046,4386
48,Idaho,NaN,3989,4598
49,Montana,NaN,4579,5161
50,Puerto Rico,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN
53,West Virginia,NaN,5640,6039
54,Northern Mariana Islands,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN
