,State,452,458,465
0,Washington,385549,9176,9113
1,Illinois,1302134,22637,22426
2,California,3718210,21016,22129
3,Arizona,853761,3954,3972
4,Massachusetts,672657,12073,12238
5,Wisconsin,651545,5982,5981
6,Texas,2850575,24266,25151
7,Nebraska,216473,2261,2369
8,Utah,392757,2025,2054
9,Oregon,175121,4356,4384
10,Florida,2168901,42140,41247
11,New York,1998912,41132,39656
12,Rhode Island,144149,2725,2671
13,Georgia,1084272,11388,11942
14,New Hampshire,91586,2667,2562
15,North Carolina,943693,14152,13835
16,New Jersey,978853,24843,24028
17,Colorado,490289,11380,11198
18,Maryland,436028,9506,9521
19,Nevada,310235,2570,2611
20,Tennessee,830484,8481,8647
21,Hawaii,32758,574,509
22,Indiana,708067,10177,10288
23,Kentucky,437312,4626,4896
24,Minnesota,556381,13802,13521
25,Oklahoma,444863,3821,3899
26,Pennsylvania,1107673,32235,31129
27,South Carolina,569279,6871,7173
28,District of Columbia,46662,822,811
29,Kansas,307407,1856,2028
30,Missouri,583941,2935,3508
31,Vermont,22016,822,786
32,Virginia,646133,10556,10778
33,Connecticut,329062,7140,6933
34,Iowa,360054,3171,3273
35,Louisiana,451955,3637,3922
36,Ohio,1053175,15093,15373
37,Michigan,873700,50132,47837
38,South Dakota,121056,1382,1352
39,Arkansas,333452,1462,1571
40,Delaware,101158,2475,2473
41,Mississippi,309186,1946,2119
42,New Mexico,194868,1550,1616
43,North Dakota,105754,1007,958
44,Wyoming,57267,434,480
45,Alaska,65921,1020,955
46,Maine,57285,3014,2868
47,Alabama,522401,4033,4266
48,Idaho,184769,1588,1509
49,Montana,107145,1050,1148
50,Puerto Rico,123049,NaN,NaN
51,Virgin Islands,3028,NaN,NaN
52,Guam,7869,NaN,NaN
53,West Virginia,148887,2644,2623
54,Northern Mariana Islands,162,NaN,NaN
55,American Samoa,0,NaN,NaN
