,State,606,612,619
0,Washington,NaN,21367,20479
1,Illinois,NaN,28490,30017
2,California,NaN,64689,65492
3,Arizona,NaN,17483,16862
4,Massachusetts,NaN,13133,13016
5,Wisconsin,NaN,17434,17211
6,Texas,NaN,109185,108092
7,Nebraska,NaN,1078,1716
8,Utah,NaN,6660,6611
9,Oregon,NaN,12538,12087
10,Florida,NaN,68182,63182
11,New York,NaN,33790,33611
12,Rhode Island,NaN,2203,2303
13,Georgia,NaN,41439,42035
14,New Hampshire,NaN,3190,3153
15,North Carolina,NaN,46657,44731
16,New Jersey,NaN,16127,16424
17,Colorado,NaN,13820,13900
18,Maryland,NaN,9350,9932
19,Nevada,NaN,7773,7825
20,Tennessee,NaN,47541,45824
21,Hawaii,NaN,2966,2619
22,Indiana,NaN,27650,28058
23,Kentucky,NaN,28423,28287
24,Minnesota,NaN,14651,14537
25,Oklahoma,NaN,16741,17376
26,Pennsylvania,NaN,31103,30758
27,South Carolina,NaN,33611,32595
28,District of Columbia,NaN,1608,1368
29,Kansas,NaN,10397,10904
30,Missouri,NaN,16522,18301
31,Vermont,NaN,1356,1339
32,Virginia,NaN,24501,25021
33,Connecticut,NaN,5910,6143
34,Iowa,NaN,12361,13057
35,Louisiana,NaN,14351,14894
36,Ohio,NaN,47523,47324
37,Michigan,NaN,24087,26002
38,South Dakota,NaN,3468,3707
39,Arkansas,NaN,10663,10842
40,Delaware,NaN,3292,3468
41,Mississippi,NaN,13717,14160
42,New Mexico,NaN,5509,5852
43,North Dakota,NaN,3182,3163
44,Wyoming,NaN,3259,3230
45,Alaska,NaN,4158,4027
46,Maine,NaN,3347,3329
47,Alabama,NaN,22117,21868
48,Idaho,NaN,7914,7734
49,Montana,NaN,6261,6553
50,Puerto Rico,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN
53,West Virginia,NaN,12761,12280
54,Northern Mariana Islands,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN
