,State,564,570,577
0,Washington,488640,17311,19489
1,Illinois,1436353,24241,33484
2,California,4047097,92771,105098
3,Arizona,946054,18436,20835
4,Massachusetts,726395,8473,11095
5,Wisconsin,695245,9976,11976
6,Texas,3238016,118463,138460
7,Nebraska,231069,641,1098
8,Utah,438479,4524,4863
9,Oregon,226899,8921,10960
10,Florida,2768985,140203,147801
11,New York,2176658,29663,36328
12,Rhode Island,155825,1474,2058
13,Georgia,1211439,40932,50958
14,New Hampshire,101662,1331,1687
15,North Carolina,1071137,28516,34599
16,New Jersey,1049222,13229,18855
17,Colorado,581692,9149,11887
18,Maryland,473969,7400,10572
19,Nevada,363574,9030,10251
20,Tennessee,914110,24430,29800
21,Hawaii,46503,3536,3692
22,Indiana,781326,14659,19156
23,Kentucky,495132,15526,18860
24,Minnesota,617788,6442,7832
25,Oklahoma,493983,14381,17461
26,Pennsylvania,1239996,15667,20719
27,South Carolina,634310,23008,28999
28,District of Columbia,51103,940,1299
29,Kansas,340491,8585,10772
30,Missouri,708412,21745,25792
31,Vermont,25320,519,639
32,Virginia,704664,14449,19184
33,Connecticut,358076,5530,7532
34,Iowa,382401,5369,7523
35,Louisiana,573903,34010,36985
36,Ohio,1142330,17869,24693
37,Michigan,1018601,13343,19061
38,South Dakota,125599,783,1184
39,Arkansas,404277,17607,19384
40,Delaware,112772,1912,2782
41,Mississippi,358149,17765,21146
42,New Mexico,213793,5558,8133
43,North Dakota,112336,868,1093
44,Wyoming,66453,1544,1780
45,Alaska,77586,2239,2629
46,Maine,71306,1163,1500
47,Alabama,607209,25196,29525
48,Idaho,204091,3970,4438
49,Montana,117882,2564,3730
50,Puerto Rico,152343,NaN,NaN
51,Virgin Islands,4960,NaN,NaN
52,Guam,8673,NaN,NaN
53,West Virginia,169162,3015,4056
54,Northern Mariana Islands,183,NaN,NaN
55,American Samoa,0,NaN,NaN
