,State,592,598,605
0,Washington,NaN,22892,22151
1,Illinois,NaN,35632,39989
2,California,NaN,96759,98433
3,Arizona,NaN,19770,18223
4,Massachusetts,NaN,11539,12135
5,Wisconsin,NaN,14500,15044
6,Texas,NaN,133602,136057
7,Nebraska,NaN,1207,1860
8,Utah,NaN,6331,6312
9,Oregon,NaN,14971,14544
10,Florida,NaN,113698,103975
11,New York,NaN,36751,38148
12,Rhode Island,NaN,2201,2351
13,Georgia,NaN,62935,64423
14,New Hampshire,NaN,2464,2582
15,North Carolina,NaN,46482,45696
16,New Jersey,NaN,16408,17860
17,Colorado,NaN,13289,14058
18,Maryland,NaN,10057,11192
19,Nevada,NaN,8004,8104
20,Tennessee,NaN,47334,47721
21,Hawaii,NaN,5255,4927
22,Indiana,NaN,31670,33349
23,Kentucky,NaN,30294,30572
24,Minnesota,NaN,11412,11551
25,Oklahoma,NaN,22137,24342
26,Pennsylvania,NaN,25708,26643
27,South Carolina,NaN,38815,39967
28,District of Columbia,NaN,1241,1241
29,Kansas,NaN,12173,13202
30,Missouri,NaN,18239,20675
31,Vermont,NaN,1113,1199
32,Virginia,NaN,24962,27124
33,Connecticut,NaN,5589,6069
34,Iowa,NaN,10325,11946
35,Louisiana,NaN,18732,19995
36,Ohio,NaN,42207,43812
37,Michigan,NaN,21100,24444
38,South Dakota,NaN,3462,3781
39,Arkansas,NaN,14258,14692
40,Delaware,NaN,3162,3408
41,Mississippi,NaN,20156,21053
42,New Mexico,NaN,7440,8561
43,North Dakota,NaN,2859,2930
44,Wyoming,NaN,3707,3744
45,Alaska,NaN,3209,3141
46,Maine,NaN,2835,3002
47,Alabama,NaN,30024,29620
48,Idaho,NaN,7259,7182
49,Montana,NaN,5074,6023
50,Puerto Rico,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN
53,West Virginia,NaN,10267,10594
54,Northern Mariana Islands,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN
