,County,239,248,255,262,269,276,283,290
0,01001,1624,325,353,374,391,402,403,170
1,01003,5021,463,468,469,471,461,454,192
2,01005,809,119,112,89,68,52,39,13
3,01007,617,44,43,42,40,37,35,14
4,01009,1504,700,850,884,844,728,620,236
5,01011,585,21,19,17,15,13,11,4
6,01013,902,30,25,20,15,12,9,3
7,01015,3211,798,817,801,774,730,674,267
8,01017,1106,249,255,234,204,172,141,52
9,01019,528,290,354,402,421,398,357,138
10,01021,1433,323,354,386,398,410,400,168
11,01023,342,7,6,5,4,3,3,1
12,01025,1044,113,116,117,118,114,107,43
13,01027,518,118,116,109,98,86,72,27
14,01029,311,52,54,54,52,49,44,18
15,01031,1238,340,382,415,437,441,426,173
16,01033,1572,62,55,48,42,36,30,11
17,01035,516,52,49,42,37,31,25,9
18,01037,157,64,84,98,99,91,82,31
19,01039,1270,651,623,494,385,289,235,83
20,01041,515,96,98,95,86,74,64,24
21,01043,1800,317,254,190,140,102,72,22
22,01045,1280,246,264,274,269,263,251,100
23,01047,1725,267,257,236,214,188,161,61
24,01049,2301,228,230,228,228,223,219,93
25,01051,2475,497,527,548,564,570,559,232
26,01053,1543,384,360,314,264,221,176,63
27,01055,3263,696,728,749,765,758,746,302
28,01057,412,137,174,212,249,278,296,130
29,01059,1727,56,50,43,37,31,27,10
30,01061,540,170,157,128,100,72,49,16
31,01063,299,0,0,0,0,0,0,0
32,01065,608,48,39,30,23,17,12,4
33,01067,452,136,125,106,84,62,44,14
34,01069,2606,1239,1339,1369,1264,1098,917,331
35,01071,1466,142,140,134,129,119,112,46
36,01073,18648,2376,2380,2346,2287,2195,2101,876
37,01075,330,46,51,55,56,57,56,23
38,01077,1592,106,103,97,91,87,81,32
39,01079,576,54,58,62,65,66,68,30
40,01081,5582,5083,5663,4534,3232,2405,1831,644
41,01083,1919,230,234,232,228,222,211,88
42,01085,643,21,15,10,7,4,3,1
43,01087,466,42,27,17,10,6,3,0
44,01089,7365,935,975,1004,1017,1032,1020,441
45,01091,693,41,37,32,28,24,20,7
46,01093,914,172,198,217,237,247,253,108
47,01095,3763,290,282,268,258,244,230,93
48,01097,12949,752,733,710,687,664,638,266
49,01099,570,68,46,28,17,10,5,1
50,01101,8560,647,540,438,353,283,222,80
51,01103,3129,218,179,143,115,89,68,24
52,01105,535,46,49,50,51,50,48,19
53,01107,622,73,77,80,82,84,85,36
54,01109,1132,322,261,196,137,92,59,17
55,01111,585,93,94,88,80,73,62,23
56,01113,1691,139,129,113,99,85,73,27
57,01115,2181,782,904,1003,1057,1069,1032,421
58,01117,5501,1831,2080,2244,2403,2457,2412,1009
59,01119,417,1,0,0,0,0,0,0
60,01121,1999,1335,1530,1374,1126,873,668,241
61,01123,1124,266,306,338,358,356,336,137
62,01125,7015,3331,3961,4404,4518,4125,3549,1355
63,01127,2177,211,170,135,102,77,57,19
64,01129,545,24,14,9,5,2,1,0
65,01131,529,7,5,3,2,1,1,0
66,01133,685,98,106,110,113,115,115,50
67,02013,2,,,,,,,NaN
68,02016,7,,,,,,,NaN
69,02020,3679,171,136,106,82,62,47,16
70,02050,86,0,0,0,0,0,0,0
71,02060,10,0,0,0,0,0,0,0
72,02068,2,,,,,,,NaN
73,02070,7,0,0,0,0,0,0,0
74,02090,921,77,80,81,82,82,82,35
75,02100,5,,,,,,,NaN
76,02105,0,,,,,,,NaN
77,02110,258,8,6,4,2,1,1,0
78,02122,432,0,0,0,0,0,0,0
79,02130,49,0,0,0,0,0,0,0
80,02150,20,0,0,0,0,0,0,0
81,02158,11,,,,,,,NaN
82,02164,0,,,,,,,NaN
83,02170,558,13,12,11,9,9,7,3
84,02180,51,0,0,0,0,0,0,0
85,02185,74,0,0,0,0,0,0,0
86,02188,80,0,0,0,0,0,0,0
87,02195,7,0,0,0,0,0,0,0
88,02198,30,0,0,0,0,0,0,0
89,02220,40,0,0,0,0,0,0,0
90,02230,0,,,,,,,NaN
91,02240,22,0,0,0,0,0,0,0
92,02261,75,0,0,0,0,0,0,0
93,02275,13,,,,,,,NaN
94,02282,21,,,,,,,NaN
95,02290,76,0,0,0,0,0,0,0
96,04001,3417,6,4,2,1,1,0,0
97,04003,1872,1,0,0,0,0,0,0
98,04005,3644,159,143,130,118,105,95,38
99,04007,1208,6,5,4,4,3,3,1
100,04009,786,1,0,0,0,0,0,0
101,04011,58,0,0,0,0,0,0,0
102,04012,530,0,0,0,0,0,0,0
103,04013,139051,1278,1136,1010,894,802,710,281
104,04015,3817,14,10,7,5,3,2,0
105,04017,5733,27,23,20,17,14,12,4
106,04019,23563,645,566,496,428,374,321,124
107,04021,10263,55,51,47,42,39,35,14
108,04023,2801,3,1,1,0,0,0,0
109,04025,2442,18,17,15,14,12,11,4
110,04027,12472,31,17,9,4,2,1,0
111,05001,334,10,8,7,5,4,3,1
112,05003,414,3,3,2,2,2,1,0
113,05005,243,44,35,26,19,13,8,2
114,05007,6030,188,132,89,58,38,24,7
115,05009,584,132,138,141,136,129,120,47
116,05011,329,3,2,1,1,0,0,0
117,05013,32,,,,,,,NaN
118,05015,594,32,27,23,19,16,13,4
119,05017,991,2,1,0,0,0,0,0
120,05019,294,8,5,3,2,1,0,0
121,05021,251,17,17,17,18,17,17,7
122,05023,302,9,9,8,7,6,6,2
