,County,302,311,318,325,332,339
0,01001,2554,200,220,222,217,207
1,01003,7933,674,731,710,648,601
2,01005,1145,16,16,18,19,21
3,01007,1011,48,48,47,46,44
4,01009,2683,266,281,280,269,255
5,01011,680,6,5,5,4,4
6,01013,1113,21,27,29,35,35
7,01015,5814,399,447,473,483,477
8,01017,1641,129,151,157,154,144
9,01019,956,47,51,55,56,56
10,01021,2122,41,43,47,51,56
11,01023,411,6,7,7,7,7
12,01025,1530,49,49,49,49,49
13,01027,868,16,18,20,22,24
14,01029,696,35,40,42,45,48
15,01031,2246,142,155,164,169,173
16,01033,2847,249,273,280,272,261
17,01035,666,46,44,35,27,23
18,01037,293,14,17,19,22,23
19,01039,2081,40,45,51,57,63
20,01041,692,21,21,21,21,21
21,01043,3940,483,494,491,483,469
22,01045,2227,133,136,136,137,136
23,01047,2134,136,150,133,113,100
24,01049,4435,247,271,293,316,338
25,01051,3797,251,276,283,278,272
26,01053,1917,31,33,35,37,38
27,01055,5650,494,550,581,590,585
28,01057,782,78,87,91,87,84
29,01059,2380,65,67,69,70,71
30,01061,1135,66,66,66,65,63
31,01063,389,18,22,25,23,21
32,01065,897,22,28,32,36,38
33,01067,823,13,11,11,11,12
34,01069,4907,299,321,320,307,286
35,01071,2800,185,196,203,205,205
36,01073,29186,2463,2813,2915,2870,2782
37,01075,600,14,14,18,21,21
38,01077,3578,446,509,539,530,509
39,01079,1152,76,79,81,81,81
40,01081,7363,429,482,478,449,419
41,01083,3834,332,355,366,367,364
42,01085,770,14,14,14,14,16
43,01087,680,39,41,42,42,42
44,01089,11834,1251,1421,1454,1406,1354
45,01091,1157,22,24,28,31,36
46,01093,1303,53,59,61,63,63
47,01095,5575,698,820,801,705,645
48,01097,18966,613,668,681,659,633
49,01099,752,22,23,23,24,24
50,01101,11837,525,547,554,556,548
51,01103,5738,737,819,830,790,757
52,01105,651,12,12,12,12,12
53,01107,1108,49,50,51,53,56
54,01109,1520,55,57,56,54,51
55,01111,968,36,41,42,43,46
56,01113,2104,60,75,80,77,73
57,01115,3856,259,253,246,236,227
58,01117,9444,1111,1257,1198,1091,1025
59,01119,547,30,30,25,19,16
60,01121,3263,161,177,190,197,204
61,01123,1665,125,138,143,139,133
62,01125,12179,570,633,686,727,763
63,01127,3399,146,157,164,168,171
64,01129,884,35,35,34,32,30
65,01131,619,10,11,11,12,12
66,01133,1183,84,95,100,101,100
67,02013,21,1,1,1,1,1
68,02016,106,2,2,2,2,2
69,02020,13811,3921,4794,4942,4336,3931
70,02050,1061,279,277,255,238,223
71,02060,0,,,,,NaN
72,02068,40,4,4,4,4,4
73,02070,85,21,18,14,13,8
74,02090,3001,305,318,319,315,309
75,02100,16,1,1,1,1,1
76,02105,0,,,,,NaN
77,02110,774,72,70,68,66,64
78,02122,1972,407,400,373,355,339
79,02130,184,105,131,75,39,30
80,02150,192,57,69,58,44,36
81,02158,370,0,0,1,3,4
82,02164,140,11,14,14,14,14
83,02170,2459,237,243,248,253,258
84,02180,175,19,21,21,18,14
85,02185,396,39,38,37,35,33
86,02188,316,9,10,12,13,14
87,02195,23,2,2,2,2,2
88,02198,46,3,3,3,3,3
89,02220,142,21,22,22,21,19
90,02230,8,,,,,NaN
91,02240,191,61,71,69,63,57
92,02261,228,16,16,16,15,15
93,02275,20,0,0,0,0,0
94,02282,44,3,3,2,3,3
95,02290,145,5,4,3,3,2
96,04001,4622,274,320,337,324,305
97,04003,2828,336,381,376,331,289
98,04005,6618,754,801,754,684,644
99,04007,2466,147,155,161,163,165
100,04009,1767,224,229,221,205,195
101,04011,146,10,10,9,7,7
102,04012,722,77,85,68,54,47
103,04013,183177,13995,16128,16206,15150,14216
104,04015,5329,786,945,868,726,644
105,04017,7345,436,375,327,295,273
106,04019,34423,3439,3339,2847,2575,2366
107,04021,14571,1004,1151,1222,1215,1172
108,04023,3409,238,276,259,233,217
109,04025,3989,683,894,922,805,727
110,04027,15813,1245,1433,1369,1225,1108
111,05001,881,65,70,74,76,78
112,05003,713,74,80,80,75,71
113,05005,1182,162,151,139,130,123
114,05007,10747,1013,1057,1028,982,939
115,05009,1489,279,308,272,237,219
116,05011,415,19,21,19,15,13
117,05013,117,51,56,40,28,22
118,05015,1223,67,73,78,81,84
119,05017,1111,52,56,41,32,26
120,05019,716,40,44,48,52,55
121,05021,742,198,227,192,166,154
122,05023,624,40,44,46,47,48
123,05025,322,21,24,27,28,28
124,05027,929,65,70,73,74,75
125,05029,554,181,196,151,124,113
126,05031,6319,546,554,551,541,529
127,05033,2785,331,353,346,327,316
128,05035,3011,170,167,165,163,160
129,05037,724,43,47,51,53,54
130,05039,254,117,101,51,35,28
131,05041,503,16,19,21,21,21
132,05043,545,31,36,42,43,48
133,05045,4292,449,490,490,469,449
134,05047,690,31,31,33,36,38
135,05049,473,45,50,53,55,56
136,05051,3350,200,215,227,234,240
137,05053,502,87,106,107,99,94
138,05055,2401,295,304,304,297,292
139,05057,759,54,56,57,57,57
140,05059,2689,325,347,324,292,261
141,05061,747,50,48,44,41,38
142,05063,1914,109,116,116,112,107
143,05065,933,24,28,30,33,35
144,05067,1464,159,194,220,240,257
145,05069,4894,198,210,218,223,226
146,05071,1180,48,55,60,64,66
147,05073,246,7,7,7,7,7
148,05075,1054,45,45,47,50,53
149,05077,1147,7,8,10,11,12
150,05079,2379,0,1,4,7,11
151,05081,588,39,42,44,45,45
152,05083,816,190,193,143,117,105
153,05085,2389,262,274,270,263,257
154,05087,543,69,76,69,62,55
155,05089,351,150,197,192,161,146
156,05091,1987,79,80,86,92,101
157,05093,2934,184,186,185,184,182
158,05095,277,25,23,19,16,14
159,05097,231,25,26,20,14,10
160,05099,408,21,21,22,22,24
161,05101,394,43,47,46,42,38
162,05103,562,232,210,150,127,119
163,05105,217,27,27,25,21,19
164,05107,863,20,21,24,27,30
165,05109,336,34,37,33,27,21
166,05111,1552,102,103,106,107,109
167,05113,642,309,352,256,217,205
168,05115,3374,173,194,208,219,228
169,05117,330,40,42,38,35,28
170,05119,15049,1357,1491,1531,1512,1486
171,05121,892,67,70,71,72,71
172,05123,1949,63,64,64,63,62
173,05125,4094,642,699,683,648,623
174,05127,316,33,32,32,30,29
175,05129,265,14,15,16,16,16
176,05131,6386,674,710,686,651,619
177,05133,1620,44,49,54,58,62
178,05135,578,92,102,105,101,97
179,05137,435,11,11,10,8,7
180,05139,1393,87,91,90,88,86
181,05141,296,69,78,57,43,37
182,05143,14083,1193,1291,1282,1241,1188
183,05145,2578,762,909,866,776,733
184,05147,179,7,7,7,9,14
185,05149,1545,93,100,93,82,74
186,06001,26927,1493,1652,1668,1566,1477
187,06003,39,6,6,6,6,6
188,06005,430,50,52,49,42,42
189,06007,3537,211,235,234,216,203
190,06009,409,13,13,13,13,13
191,06011,618,20,20,15,12,9
192,06013,21758,1841,2130,2018,1890,1791
193,06015,242,23,25,21,16,13
194,06017,1847,388,461,428,382,364
195,06019,34997,1676,1929,2018,1999,1958
196,06021,805,59,69,71,67,61
197,06023,711,48,55,53,47,42
198,06025,14644,486,543,558,555,539
199,06027,265,4,2,1,1,1
200,06029,37323,1737,1991,2010,1907,1802
201,06031,9708,839,926,783,665,592
202,06033,807,27,28,28,29,29
203,06035,1214,180,230,222,181,154
204,06037,353232,25829,29212,28644,26988,25521
205,06039,5624,230,243,241,232,221
206,06041,7467,197,206,185,168,153
207,06043,93,2,2,2,2,2
208,06045,1338,54,57,61,63,65
209,06047,10749,488,511,465,413,371
210,06049,104,17,15,12,12,12
211,06051,493,92,94,44,20,11
212,06053,13340,1011,1120,1067,978,921
213,06055,2607,357,393,367,330,302
214,06057,934,346,461,377,293,265
215,06059,67167,3816,4305,4344,4219,3999
216,06061,5642,855,931,829,723,669
217,06063,161,114,109,59,38,32
218,06065,78009,4330,4720,4790,4671,4438
219,06067,31852,3245,3821,3754,3424,3217
220,06069,1676,126,141,133,118,107
221,06071,80318,8212,9468,9164,8298,7588
222,06073,68140,6695,7638,7736,7271,6777
223,06075,14057,1144,1262,1148,1079,1017
224,06077,24335,856,940,938,901,873
225,06079,5400,709,806,749,659,601
226,06081,12878,926,961,864,775,711
227,06083,10702,330,374,400,410,413
228,06085,29631,2895,3310,3192,2990,2831
229,06087,3628,408,464,466,433,406
230,06089,3570,990,1068,924,765,676
231,06091,15,1,1,1,1,1
232,06093,436,178,197,135,101,90
233,06095,9291,862,959,964,915,856
234,06097,11316,578,600,611,620,630
235,06099,19802,1655,1697,1325,1183,1113
236,06101,2521,441,576,520,424,371
237,06103,1338,173,202,220,224,222
238,06105,103,52,69,47,29,22
239,06107,19461,688,727,714,671,630
240,06109,648,373,625,609,511,485
241,06111,17169,1947,2310,2064,1765,1623
242,06113,3981,449,517,480,433,405
243,06115,1665,154,175,179,172,162
244,08001,24504,5587,5985,5460,4981,4566
245,08003,488,74,71,63,57,51
246,08005,22200,5122,5676,5463,5107,4820
247,08007,120,39,44,29,18,12
248,08009,52,2,1,1,0,0
249,08011,46,22,24,11,5,2
250,08013,9231,3352,4513,4272,3170,2807
251,08014,1656,249,260,261,257,252
252,08015,518,48,51,50,48,46
253,08017,41,3,3,3,3,3
254,08019,157,71,97,69,47,39
255,08021,139,20,19,18,16,15
256,08023,63,5,5,5,5,5
257,08025,796,940,870,209,30,3
258,08027,54,6,6,6,6,6
259,08029,417,242,287,245,200,178
260,08031,30321,5111,5285,5164,4975,4774
261,08033,7,,,,,NaN
262,08035,8199,3140,3877,3517,2814,2530
263,08037,1987,324,338,311,279,258
264,08039,447,125,139,136,128,120
265,08041,20401,6324,6759,5629,4979,4612
266,08043,1875,504,531,522,504,488
267,08045,1744,349,429,429,381,347
268,08047,73,28,32,23,16,12
269,08049,251,153,165,128,111,102
270,08051,428,90,120,100,77,66
271,08053,6,,,,,NaN
272,08055,98,130,254,190,109,91
273,08057,14,1,1,1,1,1
274,08059,16299,4140,4419,4123,3928,3683
275,08061,18,3,3,3,3,3
276,08063,242,13,10,7,6,4
277,08065,221,65,61,46,39,35
278,08067,710,281,389,369,290,259
279,08069,7937,3189,4378,4513,3638,3259
280,08071,143,18,18,17,15,14
281,08073,102,7,8,8,7,8
282,08075,1903,294,312,305,288,269
283,08077,4354,1411,1515,1474,1397,1342
284,08079,21,0,0,0,0,0
285,08081,192,121,171,154,105,88
286,08083,483,250,320,250,199,179
287,08085,714,154,183,171,154,141
288,08087,1357,486,599,475,354,314
289,08089,363,89,97,100,100,99
290,08091,104,104,129,67,36,28
291,08093,186,51,55,48,41,36
