,County,253,262,269,276,283,290,297,304
0,01001,1798,17,15,14,12,11,10,4
1,01003,5997,150,141,134,125,118,110,43
2,01005,898,8,7,6,4,4,3,1
3,01007,672,4,3,3,2,2,2,0
4,01009,1634,8,7,7,6,5,5,2
5,01011,612,3,3,2,2,1,1,0
6,01013,919,0,0,0,0,0,0,0
7,01015,3587,50,42,35,28,24,19,7
8,01017,1181,7,6,5,5,4,3,1
9,01019,624,7,6,5,4,3,2,1
10,01021,1610,26,24,22,20,19,17,7
11,01023,357,0,0,0,0,0,0,0
12,01025,1125,6,5,5,5,4,4,1
13,01027,594,4,3,2,1,1,1,0
14,01029,414,31,29,26,23,20,17,7
15,01031,1394,55,52,49,45,41,38,15
16,01033,1696,29,25,21,17,14,12,4
17,01035,538,0,0,0,0,0,0,0
18,01037,174,1,1,1,1,1,0,0
19,01039,1424,13,12,10,9,8,7,2
20,01041,543,2,2,1,1,1,0,0
21,01043,1923,12,7,4,2,1,1,0
22,01045,1421,39,37,34,31,28,25,10
23,01047,1799,4,3,2,2,1,1,0
24,01049,2481,38,34,32,29,27,25,10
25,01051,2759,59,53,49,45,40,36,14
26,01053,1623,4,3,2,1,1,0,0
27,01055,3616,120,109,100,91,82,74,29
28,01057,473,14,13,13,13,13,13,5
29,01059,1808,13,11,9,7,6,5,1
30,01061,662,22,14,10,6,4,2,0
31,01063,306,0,0,0,0,0,0,0
32,01065,656,5,3,2,1,1,0,0
33,01067,518,7,5,3,2,1,0,0
34,01069,2962,104,87,70,58,48,38,14
35,01071,1624,39,36,31,28,24,21,8
36,01073,20308,709,652,606,565,514,472,187
37,01075,386,9,9,8,8,7,7,2
38,01077,1772,50,47,42,38,35,31,12
39,01079,644,11,11,10,10,9,9,3
40,01081,6043,77,71,65,61,55,51,20
41,01083,2174,62,56,52,46,43,38,15
42,01085,659,1,0,0,0,0,0,0
43,01087,485,0,0,0,0,0,0,0
44,01089,8056,178,170,160,150,142,133,55
45,01091,732,4,3,2,2,1,1,0
46,01093,981,7,6,6,5,5,5,2
47,01095,3995,29,26,24,21,18,17,6
48,01097,13619,231,215,202,190,176,164,67
49,01099,592,1,0,0,0,0,0,0
50,01101,8918,47,35,25,18,13,9,3
51,01103,3362,54,41,30,22,16,12,3
52,01105,543,0,0,0,0,0,0,0
53,01107,674,7,7,6,6,5,5,2
54,01109,1224,7,4,2,1,0,0,0
55,01111,678,16,13,11,9,8,6,2
56,01113,1796,13,10,8,6,5,4,1
57,01115,2389,49,44,39,35,30,27,11
58,01117,6221,231,213,199,181,164,148,59
59,01119,436,0,0,0,0,0,0,0
60,01121,2192,20,16,13,10,8,7,2
61,01123,1178,5,5,5,4,4,4,1
62,01125,9040,307,274,245,227,206,184,73
63,01127,2376,33,23,16,11,7,5,1
64,01129,562,0,0,0,0,0,0,0
65,01131,534,0,0,0,0,0,0,0
66,01133,753,4,4,3,3,2,2,1
67,02013,12,,,,,,,NaN
68,02016,96,,,,,,,NaN
69,02020,4733,382,321,261,210,166,130,46
70,02050,121,2,2,1,0,0,0,0
71,02060,0,0,0,0,0,0,0,0
72,02068,13,,,,,,,NaN
73,02070,31,0,0,0,0,0,0,0
74,02090,1226,105,110,114,116,116,115,49
75,02100,9,,,,,,,NaN
76,02105,0,,,,,,,NaN
77,02110,383,2,1,1,0,0,0,0
78,02122,641,3,1,0,0,0,0,0
79,02130,69,0,0,0,0,0,0,0
80,02150,71,0,0,0,0,0,0,0
81,02158,14,,,,,,,NaN
82,02164,94,,,,,,,NaN
83,02170,654,21,19,18,16,14,13,5
84,02180,83,1,0,0,0,0,0,0
85,02185,147,6,3,1,0,0,0,0
86,02188,136,4,3,1,1,0,0,0
87,02195,12,0,0,0,0,0,0,0
88,02198,32,0,0,0,0,0,0,0
89,02220,69,0,0,0,0,0,0,0
90,02230,0,,,,,,,NaN
91,02240,42,0,0,0,0,0,0,0
92,02261,128,1,0,0,0,0,0,0
93,02275,19,,,,,,,NaN
94,02282,30,,,,,,,NaN
95,02290,84,1,1,0,0,0,0,0
96,04001,3569,21,14,9,5,3,2,0
97,04003,1912,5,3,1,0,0,0,0
98,04005,4198,172,155,141,127,113,103,39
99,04007,1372,43,40,37,34,31,28,11
100,04009,868,20,17,15,13,11,9,3
101,04011,59,1,1,0,0,0,0,0
102,04012,545,30,17,9,4,2,1,0
103,04013,142287,1203,1077,956,850,752,669,261
104,04015,4017,25,18,13,9,6,4,1
105,04017,5802,8,7,6,5,4,3,1
106,04019,25706,352,303,264,224,191,162,62
107,04021,10672,131,122,115,107,98,91,37
108,04023,2857,4,2,1,0,0,0,0
109,04025,2583,39,36,33,31,28,26,10
110,04027,12765,33,18,9,5,2,1,0
111,05001,432,26,22,19,16,13,10,3
112,05003,443,1,1,1,0,0,0,0
113,05005,383,23,16,11,7,4,2,0
114,05007,6767,166,113,76,49,31,20,6
115,05009,774,38,34,29,26,22,19,7
116,05011,344,0,0,0,0,0,0,0
117,05013,36,,,,,,,NaN
118,05015,725,50,43,37,31,26,21,7
119,05017,1009,0,0,0,0,0,0,0
120,05019,367,13,9,6,3,2,1,0
121,05021,324,21,21,21,21,20,19,8
122,05023,343,7,6,6,5,4,4,1
123,05025,187,0,0,0,0,0,0,0
124,05027,520,72,75,78,78,76,73,30
125,05029,279,4,4,3,3,3,2,1
126,05031,3124,163,109,69,42,24,14,4
127,05033,1503,94,74,58,45,33,24,8
128,05035,1983,26,19,13,9,6,4,1
129,05037,461,10,7,5,3,2,1,0
130,05039,167,0,0,0,0,0,0,0
131,05041,307,5,4,3,3,2,2,0
132,05043,359,0,0,0,0,0,0,0
133,05045,2596,150,143,137,130,120,112,46
134,05047,304,13,13,14,14,13,13,5
135,05049,186,16,15,13,11,10,9,3
136,05051,1977,83,80,78,74,71,68,28
137,05053,274,8,8,8,8,7,7,3
138,05055,928,43,40,38,36,34,31,13
139,05057,393,11,11,10,9,8,7,3
140,05059,1928,26,25,24,23,22,20,8
141,05061,493,6,5,3,2,1,1,0
142,05063,1162,56,46,35,28,21,15,5
143,05065,260,4,3,1,1,0,0,0
144,05067,380,32,35,39,43,47,51,22
145,05069,3413,323,314,302,292,278,262,108
146,05071,866,12,9,6,4,3,2,0
147,05073,118,5,4,3,2,1,1,0
148,05075,471,19,13,8,5,3,1,0
149,05077,1068,2,1,1,0,0,0,0
150,05079,2026,23,20,17,14,12,10,3
151,05081,366,3,2,2,2,2,2,1
152,05083,425,11,10,10,9,8,8,3
153,05085,1263,67,57,49,40,34,27,10
154,05087,370,7,4,2,1,0,0,0
155,05089,105,8,8,7,7,6,6,2
156,05091,867,25,21,17,14,11,8,3
157,05093,1728,41,39,37,35,33,31,12
158,05095,139,2,2,2,1,1,1,0
159,05097,160,2,1,0,0,0,0,0
160,05099,226,0,0,0,0,0,0,0
161,05101,250,4,3,2,1,1,0,0
162,05103,270,6,5,4,3,2,2,0
163,05105,90,0,0,0,0,0,0,0
164,05107,529,19,17,15,13,11,9,3
165,05109,234,2,1,0,0,0,0,0
166,05111,693,13,7,3,1,0,0,0
167,05113,272,3,2,2,1,1,1,0
168,05115,2180,52,38,27,18,12,8,2
169,05117,158,1,1,1,0,0,0,0
170,05119,9612,524,480,439,395,354,319,125
171,05121,448,20,16,13,11,9,7,2
172,05123,1547,19,12,7,4,2,1,0
173,05125,2197,85,65,49,36,26,18,6
174,05127,111,2,2,2,2,1,1,0
