,County,299,304,311,318,325,332,339
0,01001,2481,189,232,252,249,238,228
1,01003,7696,446,491,512,506,486,464
2,01005,1130,33,31,32,32,33,33
3,01007,993,68,76,79,76,72,68
4,01009,2574,308,348,357,345,324,307
5,01011,677,9,8,8,8,8,8
6,01013,1095,44,47,49,46,42,39
7,01015,5666,475,432,472,485,487,483
8,01017,1572,105,108,112,108,99,93
9,01019,912,75,82,87,86,81,78
10,01021,2084,58,58,60,62,63,66
11,01023,411,4,3,2,1,1,1
12,01025,1503,55,60,62,64,64,64
13,01027,850,33,35,35,35,35,35
14,01029,678,28,24,26,29,31,34
15,01031,2180,224,286,311,298,279,264
16,01033,2757,294,351,377,362,335,312
17,01035,647,67,68,49,34,26,22
18,01037,270,32,39,42,39,36,33
19,01039,2043,66,59,70,81,92,102
20,01041,677,28,35,35,36,35,35
21,01043,3744,550,627,631,614,593,570
22,01045,2185,164,171,166,158,150,143
23,01047,2066,147,180,162,131,117,105
24,01049,4226,254,283,305,321,331,337
25,01051,3686,189,199,211,219,220,224
26,01053,1882,90,92,86,75,66,59
27,01055,5382,465,520,563,573,566,552
28,01057,749,87,105,112,110,101,95
29,01059,2344,59,50,55,60,65,69
30,01061,1114,100,106,110,107,102,98
31,01063,377,9,14,15,15,14,14
32,01065,876,28,30,35,41,45,47
33,01067,816,35,35,35,35,35,35
34,01069,4791,356,412,437,423,396,378
35,01071,2728,212,215,227,232,234,234
36,01073,28140,2662,3502,3785,3349,3108,2934
37,01075,584,19,20,20,21,22,22
38,01077,3360,320,359,377,380,370,358
39,01079,1080,58,62,64,65,66,68
40,01081,7240,510,640,644,595,559,534
41,01083,3689,297,338,360,368,369,366
42,01085,763,11,11,12,13,13,14
43,01087,655,53,69,73,68,61,56
44,01089,11438,1090,1387,1515,1453,1366,1293
45,01091,1134,22,22,24,28,32,35
46,01093,1284,95,107,108,98,87,78
47,01095,5355,639,846,935,822,750,700
48,01097,18565,544,632,686,689,668,656
49,01099,732,42,35,35,34,32,30
50,01101,11644,438,420,425,428,423,417
51,01103,5466,491,575,625,637,628,609
52,01105,641,9,12,13,14,14,14
53,01107,1077,83,87,85,84,81,79
54,01109,1502,60,72,76,78,77,75
55,01111,954,35,34,40,45,51,55
56,01113,2084,47,37,40,42,44,45
57,01115,3750,277,293,289,280,271,260
58,01117,9086,963,1256,1359,1227,1157,1091
59,01119,536,29,28,28,24,20,17
60,01121,3180,270,265,282,287,286,283
61,01123,1611,151,175,183,173,159,147
62,01125,11886,543,598,653,696,726,750
63,01127,3307,121,124,130,138,146,151
64,01129,877,56,69,66,57,49,42
65,01131,607,17,23,25,21,19,14
66,01133,1143,78,96,103,102,96,91
67,02013,22,3,1,1,1,1,1
68,02016,105,1,2,2,2,2,2
69,02020,12772,2681,3290,3630,3410,3112,2875
70,02050,957,219,255,257,246,233,220
71,02060,0,,,,,,NaN
72,02068,38,3,3,3,4,3,3
73,02070,81,9,14,15,14,14,14
74,02090,2909,319,334,355,365,370,372
75,02100,16,1,1,1,1,1,1
76,02105,0,,,,,,NaN
77,02110,755,110,115,113,107,102,97
78,02122,1789,462,522,483,435,404,383
79,02130,181,80,151,126,50,33,27
80,02150,172,37,47,45,27,20,15
81,02158,357,5,3,4,7,9,11
82,02164,133,11,12,13,12,10,8
83,02170,2359,297,299,303,305,307,309
84,02180,168,15,14,14,14,14,12
85,02185,380,35,39,42,44,46,49
86,02188,310,14,14,14,14,16,20
87,02195,23,1,2,2,2,2,2
88,02198,46,4,3,3,3,3,3
89,02220,133,59,73,47,21,14,10
90,02230,7,,,,,,NaN
91,02240,164,56,103,108,68,52,45
92,02261,217,28,33,34,29,28,28
93,02275,20,1,0,0,0,0,0
94,02282,41,2,2,2,2,2,2
95,02290,138,7,5,4,3,3,3
96,04001,4393,229,249,261,245,221,204
