,County,274,283,290,297,304,311,318,325
0,01001,2023,46,44,41,38,35,32,13
1,01003,6475,107,100,93,85,80,75,30
2,01005,997,15,12,10,8,7,5,2
3,01007,811,19,18,16,15,13,12,4
4,01009,1893,92,90,88,83,81,76,32
5,01011,637,1,1,1,1,0,0,0
6,01013,1001,4,3,2,1,1,1,0
7,01015,4189,148,130,112,97,82,69,25
8,01017,1336,51,48,45,41,38,35,13
9,01019,726,10,9,7,6,5,4,1
10,01021,1841,50,47,44,41,39,36,14
11,01023,388,0,0,0,0,0,0,0
12,01025,1300,19,18,17,15,14,13,5
13,01027,729,29,24,19,16,13,10,3
14,01029,543,15,13,11,9,8,7,2
15,01031,1717,74,70,65,62,57,53,21
16,01033,1967,54,47,41,36,30,26,10
17,01035,557,1,0,0,0,0,0,0
18,01037,202,2,2,2,1,1,1,0
19,01039,1699,38,35,32,29,27,24,9
20,01041,602,10,8,7,6,5,4,1
21,01043,2357,97,68,47,31,21,13,4
22,01045,1654,33,31,28,26,23,21,8
23,01047,1862,6,5,4,3,2,2,0
24,01049,3302,246,243,239,234,224,216,89
25,01051,3148,74,69,62,58,53,48,19
26,01053,1719,7,5,3,2,1,1,0
27,01055,4187,219,207,192,179,166,153,61
28,01057,561,16,15,15,15,15,14,6
29,01059,2021,45,39,34,28,24,19,7
30,01061,852,15,10,7,4,2,1,0
31,01063,342,2,2,1,1,1,1,0
32,01065,749,7,5,3,2,1,1,0
33,01067,639,7,5,3,2,1,1,0
34,01069,3692,58,47,37,30,24,19,6
35,01071,2100,109,103,94,87,80,73,28
36,01073,22861,798,738,688,635,581,532,215
37,01075,466,9,9,8,7,7,6,2
38,01077,2148,142,136,130,121,114,105,43
39,01079,821,33,34,34,34,34,34,13
40,01081,6496,49,46,42,39,35,32,13
41,01083,2765,97,92,86,79,72,67,26
42,01085,703,2,1,1,0,0,0,0
43,01087,529,1,0,0,0,0,0,0
44,01089,9150,303,290,279,264,250,236,98
45,01091,992,24,20,16,14,11,9,3
46,01093,1062,7,6,6,5,5,5,2
47,01095,4330,93,86,79,73,66,61,24
48,01097,14468,265,251,238,222,207,195,79
49,01099,640,5,2,1,0,0,0,0
50,01101,9875,297,235,187,145,113,86,29
51,01103,4036,141,113,88,68,52,39,13
52,01105,583,0,0,0,0,0,0,0
53,01107,824,25,24,23,22,21,19,8
54,01109,1323,7,4,2,1,0,0,0
55,01111,812,18,15,13,11,9,7,2
56,01113,1923,7,5,4,3,2,2,0
57,01115,2871,138,128,118,109,102,92,37
58,01117,7204,269,249,230,209,190,175,70
59,01119,470,0,0,0,0,0,0,0
60,01121,2610,80,67,58,48,41,34,12
61,01123,1305,34,33,31,31,28,27,11
62,01125,10148,337,311,286,259,234,211,83
63,01127,2722,57,41,29,20,14,10,3
64,01129,634,1,0,0,0,0,0,0
65,01131,562,0,0,0,0,0,0,0
66,01133,913,27,26,25,24,22,21,8
67,02013,15,,,,,,,NaN
68,02016,97,,,,,,,NaN
69,02020,6752,643,541,454,368,298,234,85
70,02050,337,24,19,14,10,7,5,1
71,02060,0,,,,,,,NaN
72,02068,24,,,,,,,NaN
73,02070,46,2,2,2,2,2,2,0
74,02090,1907,189,198,202,207,210,209,89
75,02100,11,,,,,,,NaN
76,02105,0,,,,,,,NaN
77,02110,468,17,12,8,5,4,2,0
78,02122,808,44,29,18,10,5,3,0
