,Region,446,451,458,465,472
0,Belgium,,25022,24015,23143,22573
1,Bulgaria,,17924,15520,14690,13352
2,Czechia,,25088,19514,13966,10068
3,Denmark,,4239,4240,3994,3221
4,Germany,,129840,109853,105242,100270
5,Estonia,,4288,3398,2770,2252
6,Ireland,,2786,2176,1995,1836
7,Greece,,21209,22142,21898,21962
8,Spain,,35999,13047,8917,8657
9,France,,115113,277953,271678,268560
10,Croatia,,13195,14288,15879,17692
11,Italy,,100036,91453,80391,71250
12,Cyprus,,NaN,NaN,NaN,NaN
13,Latvia,,3435,3195,2859,2593
14,Lithuania,,8050,8519,9572,11018
15,Luxembourg,,NaN,NaN,NaN,NaN
16,Hungary,,33028,29021,23647,18885
17,Malta,,254,217,142,89
18,Netherlands,,47701,48668,47606,46535
19,Austria,,17511,15301,13260,11412
20,Poland,,141932,136709,130280,122854
21,Portugal,,3938,4487,4154,3966
22,Romania,,32334,31345,31034,30024
23,Slovenia,,7145,5924,5431,5156
24,Slovakia,,4677,3347,2272,1517
25,Finland,,2437,2262,1920,1620
26,Sweden,,43673,21106,16048,12500
27,United Kingdom,,14727,11584,8997,6856
28,Iceland,,NaN,NaN,NaN,NaN
29,Liechtenstein,,NaN,NaN,NaN,NaN
30,Norway,,5895,6240,6301,5994
31,Switzerland,,17359,8376,8091,7785
